time,msg-rate-per-second[archv2-parity],msg-megabytes-in-per-second[archv2-parity],msg-megabytes-out-per-second[archv2-parity]
2026-08-02T15:42:10-07:00,20553.000000,0.580515,0.580545
2026-08-02T15:42:11-07:00,22487.000000,0.635743,0.635715
2026-08-02T15:42:12-07:00,20646.000000,0.583846,0.583844
2026-08-02T15:42:13-07:00,21703.000000,0.612641,0.612669
2026-08-02T15:42:14-07:00,20214.000000,0.571931,0.571935
2026-08-02T15:42:15-07:00,20831.000000,0.588530,0.588531
2026-08-02T15:42:16-07:00,20881.000000,0.589813,0.589808
2026-08-02T15:42:17-07:00,20725.000000,0.586309,0.586282
2026-08-02T15:42:18-07:00,21279.000000,0.601124,0.601147
2026-08-02T15:42:19-07:00,20049.000000,0.566257,0.566265
2026-08-02T15:42:20-07:00,19714.000000,0.556822,0.556820
2026-08-02T15:42:21-07:00,23822.355289,0.672457,0.672455
2026-08-02T15:42:22-07:00,20911.000000,0.590736,0.590709
2026-08-02T15:42:23-07:00,21676.352705,0.613481,0.613481
2026-08-02T15:42:24-07:00,20968.000000,0.593362,0.593340
2026-08-02T15:42:25-07:00,21088.000000,0.595594,0.595643
2026-08-02T15:42:26-07:00,19211.000000,0.542283,0.542280
2026-08-02T15:42:27-07:00,21353.293413,0.602186,0.602137
2026-08-02T15:42:28-07:00,20606.212425,0.582431,0.582484
2026-08-02T15:42:29-07:00,19566.000000,0.552524,0.552526
2026-08-02T15:42:30-07:00,20852.295409,0.588665,0.588661
2026-08-02T15:42:31-07:00,20344.000000,0.574780,0.574780
2026-08-02T15:42:32-07:00,20313.060818,0.573157,0.573187
2026-08-02T15:42:33-07:00,21348.743719,0.602747,0.602777
2026-08-02T15:42:34-07:00,21384.000000,0.605562,0.605523
2026-08-02T15:42:35-07:00,19113.000000,0.540893,0.540880
2026-08-02T15:42:36-07:00,21140.000000,0.596935,0.596931
2026-08-02T15:42:37-07:00,20511.000000,0.579524,0.579520
2026-08-02T15:42:38-07:00,21032.000000,0.595866,0.595862
2026-08-02T15:42:39-07:00,20545.000000,0.580333,0.580314
2026-08-02T15:42:40-07:00,20576.000000,0.580578,0.580603
2026-08-02T15:42:41-07:00,21129.000000,0.596752,0.596727
2026-08-02T15:42:42-07:00,22879.000000,0.646979,0.646979
2026-08-02T15:42:43-07:00,23137.000000,0.653246,0.653280
2026-08-02T15:42:44-07:00,23942.000000,0.677731,0.677780
2026-08-02T15:42:45-07:00,22685.000000,0.641297,0.641240
2026-08-02T15:42:46-07:00,22083.000000,0.624079,0.624104
2026-08-02T15:42:47-07:00,23131.000000,0.654721,0.654669
2026-08-02T15:42:48-07:00,23620.000000,0.667363,0.667395
2026-08-02T15:42:49-07:00,22431.000000,0.632817,0.632868
2026-08-02T15:42:50-07:00,20276.000000,0.573752,0.573670
2026-08-02T15:42:51-07:00,21524.000000,0.607874,0.607959
2026-08-02T15:42:52-07:00,22085.828343,0.623920,0.623891
2026-08-02T15:42:53-07:00,20348.697395,0.575530,0.575499
2026-08-02T15:42:54-07:00,21469.000000,0.606138,0.606141
2026-08-02T15:42:55-07:00,19748.753739,0.557968,0.557939
2026-08-02T15:42:56-07:00,21240.722166,0.600556,0.600591
2026-08-02T15:42:57-07:00,20506.480558,0.579085,0.579070
2026-08-02T15:42:58-07:00,20709.000000,0.585047,0.585055
2026-08-02T15:42:59-07:00,19590.590591,0.553894,0.553894
2026-08-02T15:43:00-07:00,18306.613226,0.517454,0.517451
2026-08-02T15:43:01-07:00,19654.037886,0.555974,0.555984
2026-08-02T15:43:02-07:00,19814.443330,0.561170,0.561166
2026-08-02T15:43:03-07:00,19390.000000,0.547540,0.547535
2026-08-02T15:43:04-07:00,19599.000000,0.552949,0.552894
2026-08-02T15:43:05-07:00,20935.000000,0.592902,0.592955
2026-08-02T15:43:06-07:00,20501.000000,0.578975,0.578950
2026-08-02T15:43:07-07:00,20746.000000,0.586215,0.586241
2026-08-02T15:43:08-07:00,19282.000000,0.544147,0.544211
