time,cpu-percentage[benchi-conduit],memory-usage[benchi-conduit]
2026-08-02T15:42:08-07:00,0.000169,111.789062
2026-08-02T15:42:09-07:00,135.895879,114.003906
2026-08-02T15:42:10-07:00,136.414762,115.613281
2026-08-02T15:42:12-07:00,130.641784,115.656250
2026-08-02T15:42:13-07:00,137.211686,117.332031
2026-08-02T15:42:14-07:00,133.840804,118.164062
2026-08-02T15:42:15-07:00,134.036821,118.085938
2026-08-02T15:42:16-07:00,135.078684,118.351562
2026-08-02T15:42:17-07:00,134.665925,117.605469
2026-08-02T15:42:18-07:00,139.410516,117.617188
2026-08-02T15:42:19-07:00,131.464444,117.628906
2026-08-02T15:42:20-07:00,132.012284,118.640625
2026-08-02T15:42:21-07:00,130.731841,117.671875
2026-08-02T15:42:22-07:00,134.621270,117.921875
2026-08-02T15:42:23-07:00,131.298257,117.679688
2026-08-02T15:42:24-07:00,135.302351,117.691406
2026-08-02T15:42:25-07:00,134.616364,118.449219
2026-08-02T15:42:26-07:00,134.357884,118.429688
2026-08-02T15:42:27-07:00,133.051617,117.710938
2026-08-02T15:42:28-07:00,132.584807,117.957031
2026-08-02T15:42:29-07:00,131.534729,118.210938
2026-08-02T15:42:30-07:00,137.281620,117.726562
2026-08-02T15:42:31-07:00,133.113249,117.726562
2026-08-02T15:42:32-07:00,136.790123,118.468750
2026-08-02T15:42:33-07:00,132.969802,117.730469
2026-08-02T15:42:34-07:00,132.036961,118.476562
2026-08-02T15:42:35-07:00,133.493333,117.753906
2026-08-02T15:42:36-07:00,136.212018,117.742188
2026-08-02T15:42:37-07:00,133.331985,117.996094
2026-08-02T15:42:38-07:00,136.723373,117.750000
2026-08-02T15:42:39-07:00,134.111919,117.761719
2026-08-02T15:42:40-07:00,135.197879,118.503906
2026-08-02T15:42:41-07:00,134.252409,117.777344
2026-08-02T15:42:42-07:00,132.754071,117.781250
2026-08-02T15:42:43-07:00,128.603198,118.031250
2026-08-02T15:42:44-07:00,127.199125,118.281250
2026-08-02T15:42:45-07:00,127.466184,117.792969
2026-08-02T15:42:46-07:00,126.317186,118.039062
2026-08-02T15:42:47-07:00,126.556361,118.039062
2026-08-02T15:42:48-07:00,126.409283,118.289062
2026-08-02T15:42:49-07:00,134.191357,117.789062
2026-08-02T15:42:50-07:00,135.874098,118.792969
2026-08-02T15:42:51-07:00,133.471178,118.046875
2026-08-02T15:42:52-07:00,133.838037,118.554688
2026-08-02T15:42:53-07:00,134.488380,117.808594
2026-08-02T15:42:54-07:00,133.841527,118.070312
2026-08-02T15:42:55-07:00,133.140153,117.824219
2026-08-02T15:42:56-07:00,134.820909,118.101562
2026-08-02T15:42:57-07:00,135.171432,118.105469
2026-08-02T15:42:58-07:00,132.926095,117.863281
2026-08-02T15:42:59-07:00,136.203197,118.113281
2026-08-02T15:43:00-07:00,135.706312,118.355469
2026-08-02T15:43:01-07:00,135.939564,118.117188
2026-08-02T15:43:02-07:00,134.106180,118.128906
2026-08-02T15:43:03-07:00,132.894880,118.113281
2026-08-02T15:43:04-07:00,134.161825,118.625000
2026-08-02T15:43:05-07:00,134.625152,118.359375
2026-08-02T15:43:06-07:00,135.506482,118.128906
2026-08-02T15:43:07-07:00,134.812167,118.382812
2026-08-02T15:43:08-07:00,135.248041,117.882812
