time,msg-rate-per-second[archv2-nxm-batched],msg-megabytes-in-per-second[archv2-nxm-batched],msg-megabytes-out-per-second[archv2-nxm-batched]
2026-08-02T15:50:54-07:00,49152.542373,0.704038,1.386169
2026-08-02T15:50:55-07:00,44595.787362,0.619708,1.264086
2026-08-02T15:50:56-07:00,46778.000000,0.666355,1.321149
2026-08-02T15:50:57-07:00,48233.000000,0.658842,1.367973
2026-08-02T15:50:58-07:00,49642.000000,0.699863,1.397134
2026-08-02T15:50:59-07:00,43648.000000,0.591782,1.231492
2026-08-02T15:51:00-07:00,43562.000000,0.609611,1.235211
2026-08-02T15:51:01-07:00,42859.000000,0.620487,1.207871
2026-08-02T15:51:02-07:00,39393.000000,0.552956,1.112962
2026-08-02T15:51:03-07:00,41023.000000,0.579328,1.159437
2026-08-02T15:51:04-07:00,40403.000000,0.550820,1.139739
2026-08-02T15:51:05-07:00,41047.904192,0.595421,1.161974
2026-08-02T15:51:06-07:00,39135.270541,0.567237,1.107300
2026-08-02T15:51:07-07:00,43758.000000,0.614485,1.238379
2026-08-02T15:51:08-07:00,38260.000000,0.532227,1.078049
2026-08-02T15:51:09-07:00,36966.000000,0.556211,1.047672
2026-08-02T15:51:10-07:00,41866.000000,0.578027,1.182940
2026-08-02T15:51:11-07:00,42762.000000,0.591993,1.210368
2026-08-02T15:51:12-07:00,42882.000000,0.621867,1.210144
2026-08-02T15:51:13-07:00,40366.169154,0.562426,1.137831
2026-08-02T15:51:14-07:00,42830.491474,0.611990,1.211083
2026-08-02T15:51:15-07:00,45035.070140,0.638072,1.272672
2026-08-02T15:51:16-07:00,44917.000000,0.625720,1.269599
2026-08-02T15:51:17-07:00,43046.000000,0.573125,1.216449
2026-08-02T15:51:18-07:00,40975.000000,0.566054,1.156805
2026-08-02T15:51:19-07:00,43596.000000,0.618178,1.232459
2026-08-02T15:51:20-07:00,39822.000000,0.594238,1.126891
2026-08-02T15:51:21-07:00,46946.000000,0.667129,1.324498
2026-08-02T15:51:22-07:00,45716.000000,0.647795,1.292099
2026-08-02T15:51:23-07:00,45800.000000,0.629598,1.290113
2026-08-02T15:51:24-07:00,40516.000000,0.575507,1.147607
2026-08-02T15:51:25-07:00,46043.000000,0.661361,1.300726
2026-08-02T15:51:26-07:00,44293.000000,0.635104,1.251757
2026-08-02T15:51:27-07:00,49125.000000,0.697433,1.388554
2026-08-02T15:51:28-07:00,39308.000000,0.558338,1.110479
2026-08-02T15:51:29-07:00,44781.000000,0.639646,1.263247
2026-08-02T15:51:30-07:00,42789.000000,0.607628,1.205995
2026-08-02T15:51:31-07:00,44368.000000,0.613729,1.256215
2026-08-02T15:51:32-07:00,46615.000000,0.656304,1.317185
2026-08-02T15:51:33-07:00,43617.210682,0.630757,1.233324
2026-08-02T15:51:34-07:00,45713.420787,0.622595,1.290242
2026-08-02T15:51:35-07:00,54607.214429,0.776134,1.550690
2026-08-02T15:51:36-07:00,47016.000000,0.666180,1.323768
2026-08-02T15:51:37-07:00,42448.000000,0.612665,1.200289
2026-08-02T15:51:38-07:00,63047.000000,0.895397,1.781081
2026-08-02T15:51:39-07:00,59932.135729,0.854373,1.694507
2026-08-02T15:51:40-07:00,67134.268537,0.937649,1.903525
2026-08-02T15:51:41-07:00,96500.000000,1.348975,2.719362
2026-08-02T15:51:42-07:00,83600.000000,1.191067,2.363393
2026-08-02T15:51:43-07:00,65177.000000,0.923164,1.847443
2026-08-02T15:51:44-07:00,58883.000000,0.822730,1.655381
2026-08-02T15:51:45-07:00,58081.000000,0.824982,1.644000
2026-08-02T15:51:46-07:00,59900.000000,0.836739,1.693169
2026-08-02T15:51:47-07:00,55899.000000,0.785769,1.580150
2026-08-02T15:51:48-07:00,54658.706468,0.773383,1.544257
2026-08-02T15:51:49-07:00,58482.412060,0.824959,1.656065
2026-08-02T15:51:50-07:00,57674.000000,0.794056,1.628146
2026-08-02T15:51:51-07:00,62393.000000,0.879386,1.767619
