test,tool,cpu-percentage[benchi-conduit],memory-usage[benchi-conduit],msg-rate-per-second[archv2-nxm-batched],msg-megabytes-in-per-second[archv2-nxm-batched],msg-megabytes-out-per-second[archv2-nxm-batched]
archv2-nxm-batched,conduit-v1,162.89,127.13,16012.32,0.23,0.45
archv2-nxm-batched,conduit-v2,118.34,130.19,25379.69,0.36,0.72
