test,tool,msg-rate-per-second[archv2-nxm-batched],msg-megabytes-in-per-second[archv2-nxm-batched],msg-megabytes-out-per-second[archv2-nxm-batched],cpu-percentage[benchi-conduit],memory-usage[benchi-conduit]
archv2-nxm-batched,conduit-v1,15870.36,0.23,0.45,157.53,126.38
archv2-nxm-batched,conduit-v2,25588.42,0.37,0.72,115.71,131.60
