test,tool,msg-rate-per-second[archv2-nxm-batched],msg-megabytes-in-per-second[archv2-nxm-batched],msg-megabytes-out-per-second[archv2-nxm-batched],cpu-percentage[benchi-conduit],memory-usage[benchi-conduit]
archv2-nxm-batched,conduit-v1,12663.96,0.18,0.36,138.01,129.10
archv2-nxm-batched,conduit-v2,21782.56,0.31,0.62,102.77,134.65
