time,cpu-percentage[benchi-conduit],memory-usage[benchi-conduit]
2026-08-02T15:37:47-07:00,0.000158,112.300781
2026-08-02T15:37:48-07:00,134.411796,114.550781
2026-08-02T15:37:49-07:00,132.618640,114.019531
2026-08-02T15:37:50-07:00,132.338663,114.421875
2026-08-02T15:37:51-07:00,129.734044,114.628906
2026-08-02T15:37:53-07:00,125.605446,116.300781
2026-08-02T15:37:54-07:00,133.128293,116.574219
2026-08-02T15:37:55-07:00,134.278534,116.343750
2026-08-02T15:37:56-07:00,136.436861,117.339844
2026-08-02T15:37:57-07:00,134.199011,116.386719
2026-08-02T15:37:58-07:00,135.270301,116.847656
2026-08-02T15:37:59-07:00,116.744947,129.652344
2026-08-02T15:38:00-07:00,127.326017,129.437500
2026-08-02T15:38:01-07:00,122.255639,129.968750
2026-08-02T15:38:02-07:00,113.455970,130.222656
2026-08-02T15:38:03-07:00,115.012461,128.753906
2026-08-02T15:38:04-07:00,112.955872,128.750000
2026-08-02T15:38:05-07:00,115.730489,125.136719
2026-08-02T15:38:06-07:00,115.355838,125.148438
2026-08-02T15:38:07-07:00,126.809685,125.910156
2026-08-02T15:38:08-07:00,122.323627,125.167969
2026-08-02T15:38:09-07:00,113.231339,125.667969
2026-08-02T15:38:10-07:00,117.076164,126.187500
2026-08-02T15:38:11-07:00,111.846838,125.179688
2026-08-02T15:38:12-07:00,113.131045,125.449219
2026-08-02T15:38:13-07:00,116.992877,125.203125
2026-08-02T15:38:14-07:00,125.158090,125.457031
2026-08-02T15:38:15-07:00,130.139043,126.203125
2026-08-02T15:38:16-07:00,122.511033,126.949219
2026-08-02T15:38:17-07:00,116.316277,125.457031
2026-08-02T15:38:18-07:00,118.753300,127.714844
2026-08-02T15:38:19-07:00,120.397982,127.968750
2026-08-02T15:38:20-07:00,122.312338,128.468750
2026-08-02T15:38:21-07:00,110.024151,127.972656
2026-08-02T15:38:22-07:00,114.683100,127.980469
2026-08-02T15:38:23-07:00,110.838240,127.738281
2026-08-02T15:38:24-07:00,111.185564,127.855469
2026-08-02T15:38:25-07:00,112.287700,127.867188
2026-08-02T15:38:26-07:00,110.859183,128.121094
2026-08-02T15:38:27-07:00,120.896615,128.378906
2026-08-02T15:38:28-07:00,113.609047,126.890625
2026-08-02T15:38:29-07:00,111.259618,126.390625
2026-08-02T15:38:30-07:00,107.443795,127.917969
2026-08-02T15:38:31-07:00,112.365542,126.964844
2026-08-02T15:38:32-07:00,105.121798,126.968750
2026-08-02T15:38:33-07:00,123.441954,127.164062
2026-08-02T15:38:34-07:00,134.325333,127.171875
2026-08-02T15:38:35-07:00,138.791797,127.175781
2026-08-02T15:38:36-07:00,134.086943,127.183594
2026-08-02T15:38:37-07:00,133.315232,127.187500
2026-08-02T15:38:38-07:00,134.770393,127.175781
2026-08-02T15:38:39-07:00,135.671701,127.175781
2026-08-02T15:38:40-07:00,136.105991,127.925781
2026-08-02T15:38:41-07:00,134.393219,127.804688
2026-08-02T15:38:42-07:00,132.202217,127.304688
2026-08-02T15:38:43-07:00,132.199801,127.558594
2026-08-02T15:38:44-07:00,134.890808,127.558594
2026-08-02T15:38:45-07:00,134.778465,127.562500
2026-08-02T15:38:46-07:00,133.524848,127.308594
2026-08-02T15:38:47-07:00,135.253837,128.066406
