time,msg-rate-per-second[archv2-parity],msg-megabytes-in-per-second[archv2-parity],msg-megabytes-out-per-second[archv2-parity]
2026-08-02T15:37:49-07:00,20780.000000,0.587211,0.587164
2026-08-02T15:37:50-07:00,24187.000000,0.683104,0.683048
2026-08-02T15:37:51-07:00,23505.000000,0.664222,0.664212
2026-08-02T15:37:52-07:00,22666.000000,0.640933,0.640968
2026-08-02T15:37:53-07:00,21800.000000,0.616296,0.616296
2026-08-02T15:37:54-07:00,22630.000000,0.639119,0.639204
2026-08-02T15:37:55-07:00,20412.000000,0.578491,0.578435
2026-08-02T15:37:56-07:00,21644.000000,0.609596,0.609534
2026-08-02T15:37:57-07:00,20913.000000,0.591332,0.591336
2026-08-02T15:37:58-07:00,23551.000000,0.666170,0.666226
2026-08-02T15:37:59-07:00,38966.000000,1.099760,1.099733
2026-08-02T15:38:00-07:00,41886.000000,1.182200,1.182200
2026-08-02T15:38:01-07:00,42592.814371,1.203078,1.203113
2026-08-02T15:38:02-07:00,30143.689320,0.850790,0.850785
2026-08-02T15:38:03-07:00,32835.743802,0.928784,0.928775
2026-08-02T15:38:04-07:00,33227.000000,0.939458,0.939489
2026-08-02T15:38:05-07:00,36206.000000,1.021694,1.020182
2026-08-02T15:38:06-07:00,43941.000000,1.240457,1.241917
2026-08-02T15:38:07-07:00,47284.860558,1.335504,1.335533
2026-08-02T15:38:08-07:00,41193.775100,1.164112,1.164083
2026-08-02T15:38:09-07:00,40445.000000,1.143381,1.143404
2026-08-02T15:38:10-07:00,41649.019608,1.176470,1.176448
2026-08-02T15:38:11-07:00,40116.326531,1.133177,1.133150
2026-08-02T15:38:12-07:00,39331.337325,1.112301,1.112354
2026-08-02T15:38:13-07:00,43970.941884,1.243820,1.243794
2026-08-02T15:38:14-07:00,45891.000000,1.297351,1.297373
2026-08-02T15:38:15-07:00,46510.427011,1.313507,1.313509
2026-08-02T15:38:16-07:00,44524.672709,1.257115,1.257116
2026-08-02T15:38:17-07:00,39118.226601,1.104986,1.104984
2026-08-02T15:38:18-07:00,40940.222898,1.157084,1.157091
2026-08-02T15:38:19-07:00,41865.731463,1.182892,1.182890
2026-08-02T15:38:20-07:00,43237.957611,1.221753,1.221727
2026-08-02T15:38:21-07:00,38932.238193,1.100242,1.100325
2026-08-02T15:38:22-07:00,35055.668016,0.991009,0.990952
2026-08-02T15:38:23-07:00,36040.000000,1.017588,1.017646
2026-08-02T15:38:24-07:00,37635.728543,1.063618,1.063571
2026-08-02T15:38:25-07:00,38008.016032,1.075570,1.075533
2026-08-02T15:38:26-07:00,39514.000000,1.115644,1.115673
2026-08-02T15:38:27-07:00,43841.475573,1.238735,1.238733
2026-08-02T15:38:28-07:00,35147.852148,0.992975,0.992948
2026-08-02T15:38:29-07:00,31215.705765,0.882326,0.882346
2026-08-02T15:38:30-07:00,38185.483871,1.078606,1.078616
2026-08-02T15:38:31-07:00,30533.333333,0.864185,0.864130
2026-08-02T15:38:32-07:00,17274.924471,0.488150,0.488150
2026-08-02T15:38:33-07:00,21265.000000,0.600810,0.600865
2026-08-02T15:38:34-07:00,19038.000000,0.537953,0.538005
2026-08-02T15:38:35-07:00,19468.127490,0.550092,0.550037
2026-08-02T15:38:36-07:00,20946.000000,0.591825,0.591824
2026-08-02T15:38:37-07:00,19257.028112,0.543788,0.543761
2026-08-02T15:38:38-07:00,21632.000000,0.610183,0.610183
2026-08-02T15:38:39-07:00,20432.000000,0.576624,0.576653
2026-08-02T15:38:40-07:00,20633.000000,0.582751,0.582747
2026-08-02T15:38:41-07:00,21077.000000,0.596150,0.596157
2026-08-02T15:38:42-07:00,20518.000000,0.579283,0.579277
2026-08-02T15:38:43-07:00,21278.000000,0.600626,0.600568
2026-08-02T15:38:44-07:00,20974.000000,0.593739,0.593801
2026-08-02T15:38:45-07:00,19793.000000,0.559977,0.559947
2026-08-02T15:38:46-07:00,18694.000000,0.528137,0.528217
2026-08-02T15:38:47-07:00,20978.000000,0.592194,0.592059
