test,tool,msg-rate-per-second[archv2-nxm-batched],msg-megabytes-in-per-second[archv2-nxm-batched],msg-megabytes-out-per-second[archv2-nxm-batched],cpu-percentage[benchi-conduit],memory-usage[benchi-conduit]
archv2-nxm-batched,conduit-v1,14648.14,0.21,0.41,137.72,125.95
archv2-nxm-batched,conduit-v2,55993.76,0.79,1.58,278.25,133.57
