time,msg-rate-per-second[archv2-nxm],msg-megabytes-in-per-second[archv2-nxm],msg-megabytes-out-per-second[archv2-nxm]
2026-08-02T15:45:30-07:00,16804.000000,0.235203,0.474922
2026-08-02T15:45:31-07:00,16428.000000,0.230107,0.463837
2026-08-02T15:45:32-07:00,15766.000000,0.220469,0.445416
2026-08-02T15:45:33-07:00,14965.000000,0.210791,0.421766
2026-08-02T15:45:34-07:00,15085.000000,0.217778,0.426527
2026-08-02T15:45:35-07:00,15933.000000,0.226073,0.451048
2026-08-02T15:45:36-07:00,14288.000000,0.203076,0.403728
2026-08-02T15:45:37-07:00,13864.000000,0.195749,0.391346
2026-08-02T15:45:38-07:00,15055.000000,0.211893,0.426527
2026-08-02T15:45:39-07:00,15607.000000,0.217348,0.441414
2026-08-02T15:45:40-07:00,13976.000000,0.200046,0.395020
2026-08-02T15:45:41-07:00,14987.000000,0.219213,0.422919
2026-08-02T15:45:42-07:00,14808.000000,0.206565,0.417854
2026-08-02T15:45:43-07:00,15790.000000,0.220407,0.446405
2026-08-02T15:45:44-07:00,14972.111554,0.208837,0.423222
2026-08-02T15:45:45-07:00,15357.429719,0.214447,0.433977
2026-08-02T15:45:46-07:00,14656.000000,0.211936,0.414371
2026-08-02T15:45:47-07:00,15958.125623,0.219968,0.450376
2026-08-02T15:45:48-07:00,15279.839519,0.205345,0.431249
2026-08-02T15:45:49-07:00,15326.000000,0.215463,0.433326
2026-08-02T15:45:50-07:00,15613.000000,0.221572,0.441824
2026-08-02T15:45:51-07:00,14513.000000,0.204563,0.410126
2026-08-02T15:45:52-07:00,14349.000000,0.207206,0.405413
2026-08-02T15:45:53-07:00,15130.000000,0.213949,0.426827
2026-08-02T15:45:54-07:00,15089.000000,0.215078,0.426257
2026-08-02T15:45:55-07:00,15674.000000,0.221821,0.443735
2026-08-02T15:45:56-07:00,15420.000000,0.218862,0.435913
2026-08-02T15:45:57-07:00,14651.000000,0.204710,0.414017
2026-08-02T15:45:58-07:00,14972.000000,0.213605,0.423441
2026-08-02T15:45:59-07:00,16119.000000,0.226539,0.455119
2026-08-02T15:46:00-07:00,15933.000000,0.228618,0.449208
2026-08-02T15:46:01-07:00,13301.000000,0.192356,0.375777
2026-08-02T15:46:02-07:00,13998.000000,0.199475,0.395632
2026-08-02T15:46:03-07:00,15496.000000,0.218647,0.437874
2026-08-02T15:46:04-07:00,14395.000000,0.199220,0.406126
2026-08-02T15:46:05-07:00,15888.000000,0.227821,0.448139
2026-08-02T15:46:06-07:00,14428.429423,0.206254,0.407871
2026-08-02T15:46:07-07:00,16169.508526,0.230149,0.456747
2026-08-02T15:46:08-07:00,15747.241725,0.228824,0.444404
2026-08-02T15:46:09-07:00,17265.000000,0.244716,0.487967
2026-08-02T15:46:10-07:00,24914.000000,0.348017,0.704810
2026-08-02T15:46:11-07:00,19768.000000,0.274568,0.559018
2026-08-02T15:46:12-07:00,21358.000000,0.302505,0.604252
2026-08-02T15:46:13-07:00,20201.000000,0.282818,0.570489
2026-08-02T15:46:14-07:00,20214.000000,0.284567,0.571488
2026-08-02T15:46:15-07:00,20061.000000,0.284494,0.566801
2026-08-02T15:46:16-07:00,20125.000000,0.280914,0.568614
2026-08-02T15:46:17-07:00,19604.000000,0.279155,0.554080
2026-08-02T15:46:18-07:00,20113.000000,0.281981,0.567855
2026-08-02T15:46:19-07:00,20293.000000,0.286946,0.574285
2026-08-02T15:46:20-07:00,21757.000000,0.307209,0.614947
2026-08-02T15:46:21-07:00,21040.000000,0.293983,0.594729
2026-08-02T15:46:22-07:00,24316.000000,0.346420,0.686784
2026-08-02T15:46:23-07:00,24131.000000,0.341406,0.682622
2026-08-02T15:46:24-07:00,18902.293121,0.275359,0.533936
2026-08-02T15:46:25-07:00,18683.049147,0.265307,0.528801
2026-08-02T15:46:26-07:00,20108.000000,0.283784,0.568731
2026-08-02T15:46:27-07:00,18066.000000,0.253740,0.510236
2026-08-02T15:46:28-07:00,18120.000000,0.255144,0.512479
