time,cpu-percentage[benchi-conduit],memory-usage[benchi-conduit]
2026-08-02T15:39:58-07:00,0.000171,107.523438
2026-08-02T15:39:59-07:00,135.869836,117.394531
2026-08-02T15:40:00-07:00,134.403069,116.937500
2026-08-02T15:40:01-07:00,134.633333,118.402344
2026-08-02T15:40:02-07:00,134.609012,117.800781
2026-08-02T15:40:03-07:00,132.867168,117.890625
2026-08-02T15:40:04-07:00,132.680823,118.156250
2026-08-02T15:40:05-07:00,129.400152,117.917969
2026-08-02T15:40:06-07:00,130.260152,118.179688
2026-08-02T15:40:07-07:00,133.005165,118.449219
2026-08-02T15:40:08-07:00,133.302115,117.976562
2026-08-02T15:40:09-07:00,135.768878,118.464844
2026-08-02T15:40:10-07:00,133.536223,118.226562
2026-08-02T15:40:11-07:00,133.766226,118.484375
2026-08-02T15:40:12-07:00,133.972788,118.074219
2026-08-02T15:40:13-07:00,134.177563,118.312500
2026-08-02T15:40:14-07:00,136.962727,118.089844
2026-08-02T15:40:15-07:00,133.389468,118.855469
2026-08-02T15:40:16-07:00,135.408819,118.605469
2026-08-02T15:40:17-07:00,134.706280,118.105469
2026-08-02T15:40:18-07:00,136.529885,118.109375
2026-08-02T15:40:19-07:00,133.966061,118.605469
2026-08-02T15:40:20-07:00,133.398256,118.359375
2026-08-02T15:40:21-07:00,131.385560,118.113281
2026-08-02T15:40:22-07:00,136.843175,119.109375
2026-08-02T15:40:23-07:00,133.231733,118.125000
2026-08-02T15:40:24-07:00,135.447614,118.375000
2026-08-02T15:40:25-07:00,131.932118,118.378906
2026-08-02T15:40:26-07:00,136.064949,118.632812
2026-08-02T15:40:27-07:00,133.568608,119.234375
2026-08-02T15:40:28-07:00,136.320201,119.238281
2026-08-02T15:40:29-07:00,136.206957,119.519531
2026-08-02T15:40:30-07:00,130.866196,118.769531
2026-08-02T15:40:31-07:00,133.561004,119.289062
2026-08-02T15:40:33-07:00,134.404028,118.851562
2026-08-02T15:40:34-07:00,133.509499,118.843750
2026-08-02T15:40:35-07:00,136.283216,119.101562
2026-08-02T15:40:36-07:00,133.628971,119.597656
2026-08-02T15:40:37-07:00,133.740164,119.601562
2026-08-02T15:40:38-07:00,136.094848,119.601562
2026-08-02T15:40:39-07:00,135.575490,119.863281
2026-08-02T15:40:40-07:00,128.372462,119.617188
2026-08-02T15:40:41-07:00,131.617732,119.125000
2026-08-02T15:40:42-07:00,130.413414,119.371094
2026-08-02T15:40:43-07:00,135.776850,119.132812
2026-08-02T15:40:44-07:00,134.621213,119.375000
2026-08-02T15:40:45-07:00,134.891863,118.882812
2026-08-02T15:40:46-07:00,134.455228,118.886719
2026-08-02T15:40:47-07:00,134.229541,118.890625
2026-08-02T15:40:48-07:00,131.901089,119.632812
2026-08-02T15:40:49-07:00,135.372238,119.902344
2026-08-02T15:40:50-07:00,136.582323,118.894531
2026-08-02T15:40:51-07:00,134.849504,118.890625
2026-08-02T15:40:52-07:00,131.843131,118.894531
2026-08-02T15:40:53-07:00,138.368494,119.398438
2026-08-02T15:40:54-07:00,133.321846,119.847656
2026-08-02T15:40:55-07:00,133.401693,119.109375
2026-08-02T15:40:56-07:00,135.359595,119.367188
2026-08-02T15:40:57-07:00,134.737812,119.367188
2026-08-02T15:40:58-07:00,139.452817,119.113281
