time,msg-rate-per-second[archv2-parity],msg-megabytes-in-per-second[archv2-parity],msg-megabytes-out-per-second[archv2-parity]
2026-08-02T15:40:00-07:00,20755.000000,0.586170,0.586170
2026-08-02T15:40:01-07:00,18635.000000,0.526684,0.526710
2026-08-02T15:40:02-07:00,19219.000000,0.543076,0.543075
2026-08-02T15:40:03-07:00,20705.000000,0.585315,0.585290
2026-08-02T15:40:04-07:00,20073.000000,0.567139,0.567139
2026-08-02T15:40:05-07:00,22941.176471,0.648267,0.648267
2026-08-02T15:40:06-07:00,22927.783350,0.647451,0.647451
2026-08-02T15:40:07-07:00,23231.000000,0.657429,0.657457
2026-08-02T15:40:08-07:00,22658.000000,0.640590,0.640592
2026-08-02T15:40:09-07:00,21761.000000,0.615284,0.615253
2026-08-02T15:40:10-07:00,20730.000000,0.586038,0.586038
2026-08-02T15:40:11-07:00,19460.000000,0.549520,0.549544
2026-08-02T15:40:12-07:00,22807.000000,0.643899,0.643904
2026-08-02T15:40:13-07:00,18786.000000,0.530823,0.530830
2026-08-02T15:40:14-07:00,20784.000000,0.587731,0.587695
2026-08-02T15:40:15-07:00,19353.938185,0.547546,0.547546
2026-08-02T15:40:16-07:00,20265.797392,0.572905,0.572937
2026-08-02T15:40:17-07:00,18775.000000,0.530441,0.530409
2026-08-02T15:40:18-07:00,19357.000000,0.546380,0.546413
2026-08-02T15:40:19-07:00,20254.000000,0.572040,0.572085
2026-08-02T15:40:20-07:00,19794.000000,0.560191,0.560112
2026-08-02T15:40:21-07:00,20458.000000,0.577599,0.577628
2026-08-02T15:40:22-07:00,21129.000000,0.596245,0.596215
2026-08-02T15:40:23-07:00,19331.000000,0.546440,0.546495
2026-08-02T15:40:24-07:00,22161.000000,0.625940,0.625914
2026-08-02T15:40:25-07:00,19069.000000,0.538927,0.538927
2026-08-02T15:40:26-07:00,19768.693918,0.558508,0.558509
2026-08-02T15:40:27-07:00,20986.960883,0.593536,0.593507
2026-08-02T15:40:28-07:00,21077.000000,0.595192,0.595192
2026-08-02T15:40:29-07:00,20279.000000,0.572838,0.572838
2026-08-02T15:40:30-07:00,21383.000000,0.603371,0.603371
2026-08-02T15:40:31-07:00,19739.000000,0.557995,0.558089
2026-08-02T15:40:32-07:00,19440.000000,0.548723,0.548656
2026-08-02T15:40:33-07:00,19653.000000,0.555580,0.555553
2026-08-02T15:40:34-07:00,21208.000000,0.598708,0.598708
2026-08-02T15:40:35-07:00,19625.000000,0.554817,0.554846
2026-08-02T15:40:36-07:00,19745.000000,0.558546,0.558570
2026-08-02T15:40:37-07:00,20601.000000,0.582307,0.582312
2026-08-02T15:40:38-07:00,18536.390828,0.523739,0.523682
2026-08-02T15:40:39-07:00,20164.493480,0.569034,0.569055
2026-08-02T15:40:40-07:00,21445.000000,0.606427,0.606487
2026-08-02T15:40:41-07:00,22890.000000,0.644751,0.644732
2026-08-02T15:40:42-07:00,23111.000000,0.653302,0.653272
2026-08-02T15:40:43-07:00,19305.000000,0.544850,0.544819
2026-08-02T15:40:44-07:00,19864.000000,0.561040,0.561040
2026-08-02T15:40:45-07:00,20023.000000,0.565627,0.565652
2026-08-02T15:40:46-07:00,19657.000000,0.555412,0.555413
2026-08-02T15:40:47-07:00,21020.000000,0.594362,0.594337
2026-08-02T15:40:48-07:00,20352.000000,0.574821,0.574845
2026-08-02T15:40:49-07:00,20927.000000,0.590424,0.590427
2026-08-02T15:40:50-07:00,21169.000000,0.598145,0.598145
2026-08-02T15:40:51-07:00,21107.000000,0.595407,0.595406
2026-08-02T15:40:52-07:00,20813.000000,0.587867,0.587872
2026-08-02T15:40:53-07:00,21230.000000,0.599941,0.599941
2026-08-02T15:40:54-07:00,20781.000000,0.587670,0.587665
2026-08-02T15:40:55-07:00,21372.000000,0.605137,0.605141
2026-08-02T15:40:56-07:00,22230.000000,0.627320,0.627354
2026-08-02T15:40:57-07:00,21397.000000,0.604087,0.604051
2026-08-02T15:40:58-07:00,20640.000000,0.583301,0.583274
