time,msg-rate-per-second[archv2-nxm-batched],msg-megabytes-in-per-second[archv2-nxm-batched],msg-megabytes-out-per-second[archv2-nxm-batched]
2026-08-02T15:49:52-07:00,18523.000000,0.261276,0.522405
2026-08-02T15:49:53-07:00,17978.043912,0.252697,0.506822
2026-08-02T15:49:54-07:00,20451.903808,0.284404,0.578597
2026-08-02T15:49:55-07:00,17448.000000,0.248577,0.493148
2026-08-02T15:49:56-07:00,19669.000000,0.275691,0.555676
2026-08-02T15:49:57-07:00,19002.000000,0.268169,0.536187
2026-08-02T15:49:58-07:00,19599.000000,0.277195,0.553978
2026-08-02T15:49:59-07:00,18135.000000,0.254752,0.513447
2026-08-02T15:50:00-07:00,17898.000000,0.255966,0.505531
2026-08-02T15:50:01-07:00,17544.000000,0.248175,0.495814
2026-08-02T15:50:02-07:00,17848.000000,0.251522,0.503050
2026-08-02T15:50:03-07:00,17256.000000,0.243667,0.487108
2026-08-02T15:50:04-07:00,19051.000000,0.268196,0.537933
2026-08-02T15:50:05-07:00,18508.000000,0.260294,0.522560
2026-08-02T15:50:06-07:00,18901.000000,0.266977,0.534332
2026-08-02T15:50:07-07:00,18335.000000,0.259335,0.518766
2026-08-02T15:50:08-07:00,16984.000000,0.239123,0.480312
2026-08-02T15:50:09-07:00,17402.000000,0.245466,0.491933
2026-08-02T15:50:10-07:00,17694.000000,0.252980,0.500281
2026-08-02T15:50:11-07:00,17197.000000,0.246013,0.485668
2026-08-02T15:50:12-07:00,18882.000000,0.267150,0.532826
2026-08-02T15:50:13-07:00,19368.000000,0.270842,0.547896
2026-08-02T15:50:14-07:00,19823.000000,0.281594,0.560395
2026-08-02T15:50:15-07:00,18802.000000,0.263152,0.530674
2026-08-02T15:50:16-07:00,20169.000000,0.284529,0.570523
2026-08-02T15:50:17-07:00,18916.000000,0.271128,0.535325
2026-08-02T15:50:18-07:00,17289.000000,0.242482,0.488692
2026-08-02T15:50:19-07:00,18155.000000,0.256046,0.513923
2026-08-02T15:50:20-07:00,17632.000000,0.248553,0.496889
2026-08-02T15:50:21-07:00,19224.000000,0.274680,0.543547
2026-08-02T15:50:22-07:00,18277.000000,0.260711,0.517476
2026-08-02T15:50:23-07:00,17262.000000,0.244955,0.487463
2026-08-02T15:50:24-07:00,17878.000000,0.250768,0.505789
2026-08-02T15:50:25-07:00,18903.000000,0.268778,0.533750
2026-08-02T15:50:26-07:00,18219.000000,0.257179,0.514632
2026-08-02T15:50:27-07:00,16406.000000,0.230159,0.463156
2026-08-02T15:50:28-07:00,16869.000000,0.234222,0.476224
2026-08-02T15:50:29-07:00,17735.000000,0.249016,0.500988
2026-08-02T15:50:30-07:00,17334.000000,0.243950,0.490062
2026-08-02T15:50:31-07:00,17622.000000,0.247504,0.498577
2026-08-02T15:50:32-07:00,17409.000000,0.247028,0.492177
2026-08-02T15:50:33-07:00,17585.828343,0.248830,0.497095
2026-08-02T15:50:34-07:00,18596.192385,0.261793,0.525047
2026-08-02T15:50:35-07:00,19022.000000,0.265411,0.537020
2026-08-02T15:50:36-07:00,18197.000000,0.259947,0.513918
2026-08-02T15:50:37-07:00,17951.000000,0.251624,0.508371
2026-08-02T15:50:38-07:00,16365.000000,0.233663,0.462788
2026-08-02T15:50:39-07:00,17918.000000,0.253995,0.506657
2026-08-02T15:50:40-07:00,18728.000000,0.262980,0.529593
2026-08-02T15:50:41-07:00,18500.000000,0.263859,0.522272
2026-08-02T15:50:42-07:00,18301.000000,0.255786,0.517273
2026-08-02T15:50:43-07:00,18020.000000,0.251166,0.508211
2026-08-02T15:50:44-07:00,18964.000000,0.264682,0.535803
2026-08-02T15:50:45-07:00,18766.000000,0.262896,0.529988
2026-08-02T15:50:46-07:00,18424.000000,0.259254,0.521148
2026-08-02T15:50:47-07:00,18844.000000,0.263986,0.532554
2026-08-02T15:50:48-07:00,19420.000000,0.272669,0.548857
2026-08-02T15:50:49-07:00,18482.000000,0.261748,0.521956
