time,msg-rate-per-second[archv2-nxm-batched],msg-megabytes-in-per-second[archv2-nxm-batched],msg-megabytes-out-per-second[archv2-nxm-batched]
2026-08-02T15:55:15-07:00,37880.260479,0.537555,1.070423
2026-08-02T15:55:16-07:00,38588.176353,0.531007,1.090938
2026-08-02T15:55:17-07:00,44303.393214,0.613945,1.250931
2026-08-02T15:55:18-07:00,50479.959920,0.723935,1.425564
2026-08-02T15:55:19-07:00,49328.000000,0.687894,1.397723
2026-08-02T15:55:20-07:00,47419.000000,0.675072,1.333850
2026-08-02T15:55:21-07:00,48867.000000,0.698091,1.386408
2026-08-02T15:55:22-07:00,50903.000000,0.722215,1.434604
2026-08-02T15:55:23-07:00,59058.000000,0.824685,1.670247
2026-08-02T15:55:24-07:00,58362.275449,0.827469,1.648289
2026-08-02T15:55:25-07:00,59418.837675,0.834373,1.680877
2026-08-02T15:55:26-07:00,58960.000000,0.821076,1.666530
2026-08-02T15:55:27-07:00,55436.000000,0.778107,1.563119
2026-08-02T15:55:28-07:00,55000.000000,0.783436,1.555207
2026-08-02T15:55:29-07:00,57992.000000,0.821567,1.637806
2026-08-02T15:55:30-07:00,58125.623131,0.825465,1.645523
2026-08-02T15:55:31-07:00,53745.235707,0.748140,1.519311
2026-08-02T15:55:32-07:00,56840.000000,0.793463,1.604487
2026-08-02T15:55:33-07:00,55065.737052,0.771126,1.556823
2026-08-02T15:55:34-07:00,54195.783133,0.772072,1.531431
2026-08-02T15:55:35-07:00,55600.000000,0.779308,1.572581
2026-08-02T15:55:36-07:00,54719.000000,0.778101,1.546723
2026-08-02T15:55:37-07:00,60300.000000,0.845265,1.700618
2026-08-02T15:55:38-07:00,56886.227545,0.799677,1.608982
2026-08-02T15:55:39-07:00,63226.452906,0.896518,1.788226
2026-08-02T15:55:40-07:00,56934.000000,0.815992,1.606842
2026-08-02T15:55:41-07:00,59395.000000,0.846972,1.677374
2026-08-02T15:55:42-07:00,56901.000000,0.807288,1.609659
2026-08-02T15:55:43-07:00,57726.819541,0.831473,1.627875
2026-08-02T15:55:44-07:00,60381.143430,0.841593,1.704773
2026-08-02T15:55:45-07:00,55358.000000,0.784348,1.567859
2026-08-02T15:55:46-07:00,57707.000000,0.812414,1.627542
2026-08-02T15:55:47-07:00,59900.000000,0.831211,1.696547
2026-08-02T15:55:48-07:00,56158.000000,0.797347,1.587458
2026-08-02T15:55:49-07:00,52542.000000,0.750621,1.486791
2026-08-02T15:55:50-07:00,54066.000000,0.764929,1.521156
2026-08-02T15:55:51-07:00,54861.000000,0.790956,1.550707
2026-08-02T15:55:52-07:00,55100.000000,0.785963,1.560993
2026-08-02T15:55:53-07:00,58200.000000,0.850280,1.643861
2026-08-02T15:55:54-07:00,57577.844311,0.821504,1.634042
2026-08-02T15:55:55-07:00,54000.000000,0.764536,1.519345
2026-08-02T15:55:56-07:00,55114.000000,0.768909,1.560147
2026-08-02T15:55:57-07:00,57595.000000,0.807573,1.623610
2026-08-02T15:55:58-07:00,57815.553340,0.811382,1.627964
2026-08-02T15:55:59-07:00,45234.000000,0.644029,1.281652
2026-08-02T15:56:00-07:00,49348.044132,0.693025,1.396194
2026-08-02T15:56:01-07:00,58926.000000,0.833698,1.665745
2026-08-02T15:56:02-07:00,71195.000000,1.001719,2.010787
2026-08-02T15:56:03-07:00,56694.000000,0.804646,1.602315
2026-08-02T15:56:04-07:00,56084.000000,0.784467,1.587088
2026-08-02T15:56:05-07:00,57860.000000,0.815402,1.631599
2026-08-02T15:56:06-07:00,61876.247505,0.873905,1.750953
2026-08-02T15:56:07-07:00,57507.014028,0.808317,1.621622
2026-08-02T15:56:08-07:00,56200.000000,0.798117,1.584469
2026-08-02T15:56:09-07:00,59100.000000,0.837503,1.674277
2026-08-02T15:56:10-07:00,56153.000000,0.786571,1.586546
2026-08-02T15:56:11-07:00,54482.000000,0.776709,1.536831
2026-08-02T15:56:12-07:00,55201.000000,0.778797,1.562961
2026-08-02T15:56:13-07:00,57731.000000,0.804482,1.630267
