time,cpu-percentage[benchi-conduit],memory-usage[benchi-conduit]
2026-08-02T15:36:45-07:00,0.000119,105.738281
2026-08-02T15:36:46-07:00,193.227247,114.871094
2026-08-02T15:36:47-07:00,196.024677,115.828125
2026-08-02T15:36:48-07:00,195.458221,116.101562
2026-08-02T15:36:49-07:00,205.200855,115.933594
2026-08-02T15:36:50-07:00,203.648020,116.453125
2026-08-02T15:36:51-07:00,186.104530,115.464844
2026-08-02T15:36:53-07:00,196.721856,115.718750
2026-08-02T15:36:54-07:00,206.058025,115.746094
2026-08-02T15:36:55-07:00,202.765974,115.750000
2026-08-02T15:36:56-07:00,203.698590,116.007812
2026-08-02T15:36:57-07:00,197.030615,116.039062
2026-08-02T15:36:58-07:00,204.883176,116.328125
2026-08-02T15:36:59-07:00,201.421677,116.355469
2026-08-02T15:37:00-07:00,205.891421,116.093750
2026-08-02T15:37:01-07:00,196.612644,115.941406
2026-08-02T15:37:02-07:00,183.173087,115.957031
2026-08-02T15:37:03-07:00,180.041812,115.968750
2026-08-02T15:37:04-07:00,195.072982,117.207031
2026-08-02T15:37:05-07:00,198.049664,117.007812
2026-08-02T15:37:06-07:00,201.881418,116.523438
2026-08-02T15:37:07-07:00,194.637468,116.761719
2026-08-02T15:37:08-07:00,206.347443,117.261719
2026-08-02T15:37:09-07:00,200.327894,116.769531
2026-08-02T15:37:10-07:00,206.141926,117.507812
2026-08-02T15:37:11-07:00,192.033674,117.269531
2026-08-02T15:37:12-07:00,197.122638,118.828125
2026-08-02T15:37:13-07:00,198.021411,119.343750
2026-08-02T15:37:14-07:00,203.985611,119.578125
2026-08-02T15:37:15-07:00,209.119095,119.343750
2026-08-02T15:37:16-07:00,201.626127,118.839844
2026-08-02T15:37:17-07:00,197.055410,119.339844
2026-08-02T15:37:18-07:00,204.625243,118.851562
2026-08-02T15:37:19-07:00,204.081111,119.101562
2026-08-02T15:37:20-07:00,205.549956,119.105469
2026-08-02T15:37:21-07:00,200.754444,118.863281
2026-08-02T15:37:22-07:00,192.641587,118.859375
2026-08-02T15:37:23-07:00,197.405084,118.867188
2026-08-02T15:37:24-07:00,208.529686,119.363281
2026-08-02T15:37:25-07:00,205.464678,119.617188
2026-08-02T15:37:26-07:00,202.948934,119.371094
2026-08-02T15:37:27-07:00,196.874018,118.878906
2026-08-02T15:37:28-07:00,203.180377,119.394531
2026-08-02T15:37:29-07:00,195.198387,119.523438
2026-08-02T15:37:30-07:00,206.714965,119.527344
2026-08-02T15:37:31-07:00,192.711221,119.285156
2026-08-02T15:37:32-07:00,188.338698,119.035156
2026-08-02T15:37:33-07:00,197.568663,119.035156
2026-08-02T15:37:34-07:00,201.641744,119.296875
2026-08-02T15:37:35-07:00,200.573797,119.050781
2026-08-02T15:37:36-07:00,204.712856,120.046875
2026-08-02T15:37:37-07:00,194.042573,119.054688
2026-08-02T15:37:38-07:00,196.699937,119.550781
2026-08-02T15:37:39-07:00,203.609146,120.558594
2026-08-02T15:37:40-07:00,202.034004,119.312500
2026-08-02T15:37:41-07:00,196.994327,119.312500
2026-08-02T15:37:42-07:00,192.779177,119.062500
2026-08-02T15:37:43-07:00,203.711778,120.054688
2026-08-02T15:37:44-07:00,202.649361,119.449219
2026-08-02T15:37:45-07:00,201.386734,120.195312
