time,msg-rate-per-second[archv2-parity],msg-megabytes-in-per-second[archv2-parity],msg-megabytes-out-per-second[archv2-parity]
2026-08-02T15:36:47-07:00,28581.000000,0.806546,0.806546
2026-08-02T15:36:48-07:00,30131.000000,0.852391,0.852391
2026-08-02T15:36:49-07:00,28173.000000,0.795055,0.795081
2026-08-02T15:36:50-07:00,28062.000000,0.792870,0.792844
2026-08-02T15:36:51-07:00,29614.000000,0.836963,0.836963
2026-08-02T15:36:52-07:00,30356.000000,0.856782,0.856782
2026-08-02T15:36:53-07:00,30941.000000,0.874110,0.874174
2026-08-02T15:36:54-07:00,30216.000000,0.853053,0.852989
2026-08-02T15:36:55-07:00,28786.000000,0.811948,0.811948
2026-08-02T15:36:56-07:00,28921.000000,0.817158,0.817158
2026-08-02T15:36:57-07:00,30317.000000,0.857276,0.857276
2026-08-02T15:36:58-07:00,28089.000000,0.794112,0.794147
2026-08-02T15:36:59-07:00,31007.000000,0.876129,0.876122
2026-08-02T15:37:00-07:00,26939.000000,0.762570,0.762544
2026-08-02T15:37:01-07:00,28991.000000,0.819869,0.819869
2026-08-02T15:37:02-07:00,27870.000000,0.786371,0.786395
2026-08-02T15:37:03-07:00,25290.000000,0.715098,0.715075
2026-08-02T15:37:04-07:00,27320.000000,0.772169,0.772169
2026-08-02T15:37:05-07:00,31455.000000,0.888656,0.888656
2026-08-02T15:37:06-07:00,32490.000000,0.918074,0.918074
2026-08-02T15:37:07-07:00,27204.000000,0.768943,0.768943
2026-08-02T15:37:08-07:00,28400.000000,0.801563,0.801563
2026-08-02T15:37:09-07:00,30091.000000,0.850931,0.850931
2026-08-02T15:37:10-07:00,29855.000000,0.843661,0.843661
2026-08-02T15:37:11-07:00,29586.000000,0.834863,0.834863
2026-08-02T15:37:12-07:00,28662.000000,0.811160,0.811160
2026-08-02T15:37:13-07:00,29514.000000,0.832981,0.832981
2026-08-02T15:37:14-07:00,32890.000000,0.929080,0.929080
2026-08-02T15:37:15-07:00,29124.000000,0.822486,0.822486
2026-08-02T15:37:16-07:00,31817.000000,0.899831,0.899831
2026-08-02T15:37:17-07:00,31316.000000,0.884171,0.884206
2026-08-02T15:37:18-07:00,31034.000000,0.877282,0.877248
2026-08-02T15:37:19-07:00,30970.000000,0.875036,0.875036
2026-08-02T15:37:20-07:00,29712.000000,0.840117,0.840117
2026-08-02T15:37:21-07:00,30268.000000,0.853952,0.853952
2026-08-02T15:37:22-07:00,29403.000000,0.831511,0.831511
2026-08-02T15:37:23-07:00,29138.000000,0.823096,0.823096
2026-08-02T15:37:24-07:00,32352.000000,0.915441,0.915441
2026-08-02T15:37:25-07:00,31317.000000,0.885020,0.885020
2026-08-02T15:37:26-07:00,30738.000000,0.868692,0.868692
2026-08-02T15:37:27-07:00,29208.000000,0.825294,0.825294
2026-08-02T15:37:28-07:00,32182.000000,0.909345,0.909345
2026-08-02T15:37:29-07:00,27037.000000,0.765059,0.765059
2026-08-02T15:37:30-07:00,27934.000000,0.790105,0.790105
2026-08-02T15:37:31-07:00,27705.000000,0.783685,0.783685
2026-08-02T15:37:32-07:00,28630.000000,0.809747,0.809747
2026-08-02T15:37:33-07:00,26591.000000,0.752494,0.752494
2026-08-02T15:37:34-07:00,27540.000000,0.779053,0.779053
2026-08-02T15:37:35-07:00,31207.000000,0.883394,0.883394
2026-08-02T15:37:36-07:00,30170.000000,0.852850,0.852850
2026-08-02T15:37:37-07:00,29653.000000,0.837086,0.837086
2026-08-02T15:37:38-07:00,28756.000000,0.812876,0.812904
2026-08-02T15:37:39-07:00,28396.000000,0.802232,0.802203
2026-08-02T15:37:40-07:00,30857.000000,0.870624,0.870624
2026-08-02T15:37:41-07:00,29037.000000,0.821042,0.821042
2026-08-02T15:37:42-07:00,29637.000000,0.838504,0.838504
2026-08-02T15:37:43-07:00,30021.000000,0.847306,0.847306
2026-08-02T15:37:44-07:00,30985.000000,0.875951,0.875951
2026-08-02T15:37:45-07:00,30483.000000,0.860470,0.860557
