test,tool,cpu-percentage[benchi-conduit],memory-usage[benchi-conduit],msg-rate-per-second[archv2-nxm],msg-megabytes-in-per-second[archv2-nxm],msg-megabytes-out-per-second[archv2-nxm]
archv2-nxm,conduit-v1,158.56,123.09,16561.96,0.23,0.47
archv2-nxm,conduit-v2,182.00,120.30,17604.65,0.25,0.50
