test,tool,cpu-percentage[benchi-conduit],memory-usage[benchi-conduit],msg-rate-per-second[archv2-parity],msg-megabytes-in-per-second[archv2-parity],msg-megabytes-out-per-second[archv2-parity]
archv2-parity,conduit-v1,197.90,119.29,29501.36,0.83,0.83
archv2-parity,conduit-v2,133.57,117.99,20845.75,0.59,0.59
