time,cpu-percentage[benchi-conduit],memory-usage[benchi-conduit]
2026-08-02T15:46:30-07:00,0.000208,111.917969
2026-08-02T15:46:31-07:00,195.399289,116.105469
2026-08-02T15:46:32-07:00,219.599303,116.234375
2026-08-02T15:46:33-07:00,216.688381,116.585938
2026-08-02T15:46:34-07:00,215.365922,116.632812
2026-08-02T15:46:35-07:00,212.620545,117.187500
2026-08-02T15:46:36-07:00,213.418291,116.210938
2026-08-02T15:46:37-07:00,215.577046,116.257812
2026-08-02T15:46:38-07:00,215.006925,116.519531
2026-08-02T15:46:39-07:00,217.084308,117.035156
2026-08-02T15:46:40-07:00,217.407960,116.292969
2026-08-02T15:46:41-07:00,217.135980,117.542969
2026-08-02T15:46:42-07:00,218.270210,117.066406
2026-08-02T15:46:43-07:00,211.307323,117.589844
2026-08-02T15:46:44-07:00,218.224251,118.046875
2026-08-02T15:46:45-07:00,200.731184,119.972656
2026-08-02T15:46:46-07:00,207.655299,118.328125
2026-08-02T15:46:47-07:00,169.725126,118.585938
2026-08-02T15:46:48-07:00,181.783447,118.894531
2026-08-02T15:46:49-07:00,166.891062,118.640625
2026-08-02T15:46:50-07:00,176.300844,119.339844
2026-08-02T15:46:51-07:00,171.003147,119.378906
2026-08-02T15:46:52-07:00,170.846816,119.144531
2026-08-02T15:46:53-07:00,172.395805,119.644531
2026-08-02T15:46:54-07:00,166.792545,119.148438
2026-08-02T15:46:55-07:00,167.733899,119.644531
2026-08-02T15:46:56-07:00,165.320000,119.152344
2026-08-02T15:46:57-07:00,157.264719,121.156250
2026-08-02T15:46:58-07:00,162.039924,121.703125
2026-08-02T15:46:59-07:00,174.689943,121.210938
2026-08-02T15:47:00-07:00,171.564639,122.207031
2026-08-02T15:47:01-07:00,162.934121,121.457031
2026-08-02T15:47:02-07:00,194.133969,121.480469
2026-08-02T15:47:03-07:00,187.613557,122.722656
2026-08-02T15:47:04-07:00,173.858586,121.492188
2026-08-02T15:47:05-07:00,169.115586,121.375000
2026-08-02T15:47:06-07:00,180.903767,121.371094
2026-08-02T15:47:07-07:00,175.272563,121.871094
2026-08-02T15:47:08-07:00,172.131522,122.121094
2026-08-02T15:47:09-07:00,167.712484,122.667969
2026-08-02T15:47:11-07:00,181.449038,122.687500
2026-08-02T15:47:12-07:00,182.553407,122.214844
2026-08-02T15:47:13-07:00,189.926838,122.710938
2026-08-02T15:47:14-07:00,188.276216,122.464844
2026-08-02T15:47:15-07:00,179.504101,122.476562
2026-08-02T15:47:16-07:00,161.789357,122.234375
2026-08-02T15:47:17-07:00,166.991818,122.488281
2026-08-02T15:47:18-07:00,166.420150,122.507812
2026-08-02T15:47:19-07:00,163.294743,122.621094
2026-08-02T15:47:20-07:00,144.002210,122.382812
2026-08-02T15:47:21-07:00,148.221739,123.125000
2026-08-02T15:47:22-07:00,164.975839,122.382812
2026-08-02T15:47:23-07:00,171.390181,122.390625
2026-08-02T15:47:24-07:00,182.916652,122.394531
2026-08-02T15:47:25-07:00,175.812624,122.410156
2026-08-02T15:47:26-07:00,191.766827,122.402344
2026-08-02T15:47:27-07:00,150.145032,122.410156
2026-08-02T15:47:28-07:00,156.945041,122.410156
2026-08-02T15:47:29-07:00,149.778764,122.414062
2026-08-02T15:47:30-07:00,152.507621,122.417969
