time,msg-rate-per-second[archv2-nxm],msg-megabytes-in-per-second[archv2-nxm],msg-megabytes-out-per-second[archv2-nxm]
2026-08-02T15:46:32-07:00,19412.000000,0.272605,0.547732
2026-08-02T15:46:33-07:00,20261.000000,0.284230,0.572425
2026-08-02T15:46:34-07:00,18963.000000,0.265425,0.534835
2026-08-02T15:46:35-07:00,18730.000000,0.266134,0.529376
2026-08-02T15:46:36-07:00,18869.000000,0.265769,0.532777
2026-08-02T15:46:37-07:00,18647.000000,0.261223,0.527022
2026-08-02T15:46:38-07:00,17489.000000,0.244995,0.495486
2026-08-02T15:46:39-07:00,17952.000000,0.252498,0.507842
2026-08-02T15:46:40-07:00,19410.000000,0.272455,0.548479
2026-08-02T15:46:41-07:00,18491.000000,0.261571,0.522316
2026-08-02T15:46:42-07:00,17459.081836,0.250043,0.493920
2026-08-02T15:46:43-07:00,18488.977956,0.261477,0.521811
2026-08-02T15:46:44-07:00,19447.000000,0.274484,0.549493
2026-08-02T15:46:45-07:00,19255.000000,0.272665,0.544452
2026-08-02T15:46:46-07:00,20607.000000,0.291338,0.582371
2026-08-02T15:46:47-07:00,19781.000000,0.278100,0.558730
2026-08-02T15:46:48-07:00,17236.000000,0.244381,0.488320
2026-08-02T15:46:49-07:00,19268.000000,0.272203,0.544631
2026-08-02T15:46:50-07:00,16840.000000,0.238943,0.476420
2026-08-02T15:46:51-07:00,16472.000000,0.233212,0.464945
2026-08-02T15:46:52-07:00,17678.000000,0.251248,0.499663
2026-08-02T15:46:53-07:00,17795.000000,0.252934,0.502599
2026-08-02T15:46:54-07:00,18048.000000,0.255496,0.510170
2026-08-02T15:46:55-07:00,17427.000000,0.245165,0.492041
2026-08-02T15:46:56-07:00,16327.000000,0.229519,0.460889
2026-08-02T15:46:57-07:00,17247.000000,0.245152,0.487582
2026-08-02T15:46:58-07:00,15931.000000,0.224539,0.449714
2026-08-02T15:46:59-07:00,16106.000000,0.227657,0.455303
2026-08-02T15:47:00-07:00,16147.000000,0.227796,0.456511
2026-08-02T15:47:01-07:00,17816.000000,0.250764,0.504038
2026-08-02T15:47:02-07:00,15576.119403,0.220124,0.440370
2026-08-02T15:47:03-07:00,25780.904523,0.364205,0.729383
2026-08-02T15:47:04-07:00,25825.000000,0.363578,0.730392
2026-08-02T15:47:05-07:00,19050.000000,0.269464,0.538312
2026-08-02T15:47:06-07:00,16829.000000,0.238564,0.475688
2026-08-02T15:47:07-07:00,17857.000000,0.254035,0.504641
2026-08-02T15:47:08-07:00,17353.000000,0.245749,0.491792
2026-08-02T15:47:09-07:00,16281.000000,0.232127,0.459919
2026-08-02T15:47:10-07:00,17099.000000,0.243988,0.481812
2026-08-02T15:47:11-07:00,17609.000000,0.248489,0.497097
2026-08-02T15:47:12-07:00,18730.000000,0.263382,0.528955
2026-08-02T15:47:13-07:00,18154.000000,0.256196,0.513261
2026-08-02T15:47:14-07:00,18835.000000,0.264930,0.532522
2026-08-02T15:47:15-07:00,18398.000000,0.260939,0.520394
2026-08-02T15:47:16-07:00,16481.000000,0.232387,0.465153
2026-08-02T15:47:17-07:00,17106.000000,0.241318,0.482802
2026-08-02T15:47:18-07:00,16816.000000,0.236171,0.475113
2026-08-02T15:47:19-07:00,16486.000000,0.232436,0.466246
2026-08-02T15:47:20-07:00,15546.000000,0.220340,0.439293
2026-08-02T15:47:21-07:00,15205.000000,0.211562,0.429155
2026-08-02T15:47:22-07:00,15685.000000,0.224456,0.442972
2026-08-02T15:47:23-07:00,17386.000000,0.246684,0.491016
2026-08-02T15:47:24-07:00,17232.000000,0.245944,0.486641
2026-08-02T15:47:25-07:00,18201.000000,0.258927,0.515511
2026-08-02T15:47:26-07:00,16526.000000,0.235591,0.466821
2026-08-02T15:47:27-07:00,16567.000000,0.234376,0.467951
2026-08-02T15:47:28-07:00,16219.000000,0.226994,0.458722
2026-08-02T15:47:29-07:00,16423.000000,0.233419,0.464450
2026-08-02T15:47:30-07:00,16215.000000,0.230388,0.458823
