time,msg-rate-per-second[archv2-parity],msg-megabytes-in-per-second[archv2-parity],msg-megabytes-out-per-second[archv2-parity]
2026-08-02T15:41:08-07:00,30299.000000,0.856085,0.856085
2026-08-02T15:41:09-07:00,28980.039920,0.819166,0.819191
2026-08-02T15:41:10-07:00,30036.000000,0.848822,0.848797
2026-08-02T15:41:11-07:00,32059.118236,0.905950,0.905950
2026-08-02T15:41:12-07:00,31979.000000,0.903176,0.903176
2026-08-02T15:41:13-07:00,30422.000000,0.858856,0.858882
2026-08-02T15:41:14-07:00,27516.966068,0.779165,0.779140
2026-08-02T15:41:15-07:00,30192.384770,0.854412,0.854437
2026-08-02T15:41:16-07:00,28193.000000,0.797199,0.797174
2026-08-02T15:41:17-07:00,28457.000000,0.803144,0.803144
2026-08-02T15:41:18-07:00,28009.000000,0.791935,0.791935
2026-08-02T15:41:19-07:00,30970.000000,0.874870,0.874870
2026-08-02T15:41:20-07:00,29917.000000,0.844965,0.844965
2026-08-02T15:41:21-07:00,30669.000000,0.867693,0.867693
2026-08-02T15:41:22-07:00,29735.000000,0.840273,0.840273
2026-08-02T15:41:23-07:00,31024.875622,0.876946,0.876946
2026-08-02T15:41:24-07:00,29735.205617,0.839960,0.839960
2026-08-02T15:41:25-07:00,28695.390782,0.812015,0.812015
2026-08-02T15:41:26-07:00,30971.000000,0.875995,0.876029
2026-08-02T15:41:27-07:00,27345.000000,0.773740,0.773757
2026-08-02T15:41:28-07:00,30643.000000,0.867134,0.867111
2026-08-02T15:41:29-07:00,31444.000000,0.887821,0.887821
2026-08-02T15:41:30-07:00,31143.000000,0.879895,0.879867
2026-08-02T15:41:31-07:00,29299.000000,0.828308,0.828341
2026-08-02T15:41:32-07:00,28933.000000,0.818356,0.818346
2026-08-02T15:41:33-07:00,28895.000000,0.817080,0.817058
2026-08-02T15:41:34-07:00,29285.000000,0.827657,0.827682
2026-08-02T15:41:35-07:00,29537.000000,0.834665,0.834616
2026-08-02T15:41:36-07:00,30654.000000,0.867032,0.867057
2026-08-02T15:41:37-07:00,30582.000000,0.864557,0.864557
2026-08-02T15:41:38-07:00,29923.000000,0.845263,0.845263
2026-08-02T15:41:39-07:00,33660.000000,0.950739,0.950790
2026-08-02T15:41:40-07:00,31579.262213,0.892720,0.892669
2026-08-02T15:41:41-07:00,27922.768305,0.789314,0.789314
2026-08-02T15:41:42-07:00,26358.000000,0.745206,0.745232
2026-08-02T15:41:43-07:00,29111.000000,0.822468,0.822442
2026-08-02T15:41:44-07:00,29221.000000,0.825127,0.825127
2026-08-02T15:41:45-07:00,30708.000000,0.867558,0.867558
2026-08-02T15:41:46-07:00,33873.000000,0.955664,0.955664
2026-08-02T15:41:47-07:00,30540.378863,0.861534,0.861534
2026-08-02T15:41:48-07:00,29395.185557,0.829684,0.829684
2026-08-02T15:41:49-07:00,27413.000000,0.775167,0.775167
2026-08-02T15:41:50-07:00,28062.000000,0.793309,0.793340
2026-08-02T15:41:51-07:00,28045.000000,0.791397,0.791367
2026-08-02T15:41:52-07:00,28966.000000,0.819412,0.819412
2026-08-02T15:41:53-07:00,29677.644711,0.838717,0.838717
2026-08-02T15:41:54-07:00,30991.983968,0.875951,0.875951
2026-08-02T15:41:55-07:00,29977.000000,0.847313,0.847344
2026-08-02T15:41:56-07:00,29665.000000,0.840102,0.839989
2026-08-02T15:41:57-07:00,27308.383234,0.771561,0.771642
2026-08-02T15:41:58-07:00,29469.939880,0.834095,0.834117
2026-08-02T15:41:59-07:00,29942.000000,0.846871,0.846849
2026-08-02T15:42:00-07:00,24858.000000,0.702520,0.702520
2026-08-02T15:42:01-07:00,25462.000000,0.719893,0.719893
2026-08-02T15:42:02-07:00,27976.000000,0.789870,0.789900
2026-08-02T15:42:03-07:00,28696.000000,0.811213,0.811244
2026-08-02T15:42:04-07:00,28752.000000,0.811643,0.811643
2026-08-02T15:42:05-07:00,26988.000000,0.762405,0.762344
2026-08-02T15:42:06-07:00,30265.469062,0.855929,0.855957
