time,msg-rate-per-second[archv2-nxm],msg-megabytes-in-per-second[archv2-nxm],msg-megabytes-out-per-second[archv2-nxm]
2026-08-02T15:44:21-07:00,16605.000000,0.232962,0.468393
2026-08-02T15:44:22-07:00,17247.000000,0.241948,0.487239
2026-08-02T15:44:23-07:00,16258.964143,0.230225,0.460277
2026-08-02T15:44:24-07:00,16763.052209,0.236719,0.473844
2026-08-02T15:44:25-07:00,16653.000000,0.236403,0.470985
2026-08-02T15:44:26-07:00,17080.000000,0.243119,0.482499
2026-08-02T15:44:27-07:00,18089.000000,0.256070,0.511434
2026-08-02T15:44:28-07:00,17354.291417,0.245769,0.490288
2026-08-02T15:44:29-07:00,18110.220441,0.253920,0.512231
2026-08-02T15:44:30-07:00,18921.000000,0.264647,0.535423
2026-08-02T15:44:31-07:00,18278.000000,0.259027,0.516285
2026-08-02T15:44:32-07:00,18480.000000,0.260165,0.522367
2026-08-02T15:44:33-07:00,17639.000000,0.246633,0.498375
2026-08-02T15:44:34-07:00,17662.000000,0.250516,0.498195
2026-08-02T15:44:35-07:00,18262.000000,0.257573,0.516439
2026-08-02T15:44:36-07:00,18081.000000,0.256044,0.510918
2026-08-02T15:44:37-07:00,18533.000000,0.262469,0.524632
2026-08-02T15:44:38-07:00,17417.000000,0.245732,0.491601
2026-08-02T15:44:39-07:00,16141.716567,0.229434,0.456762
2026-08-02T15:44:40-07:00,18073.852295,0.254708,0.511067
2026-08-02T15:44:41-07:00,18960.843373,0.269160,0.535571
2026-08-02T15:44:42-07:00,17497.000000,0.248313,0.493869
2026-08-02T15:44:43-07:00,16836.146971,0.236770,0.475819
2026-08-02T15:44:44-07:00,18275.931521,0.255346,0.516188
2026-08-02T15:44:45-07:00,18268.463074,0.257990,0.516279
2026-08-02T15:44:46-07:00,17474.949900,0.246129,0.492536
2026-08-02T15:44:47-07:00,19414.000000,0.274139,0.547407
2026-08-02T15:44:48-07:00,17585.000000,0.248550,0.497737
2026-08-02T15:44:49-07:00,18940.119760,0.266360,0.534953
2026-08-02T15:44:50-07:00,17605.210421,0.248967,0.497481
2026-08-02T15:44:51-07:00,19247.000000,0.271091,0.543242
2026-08-02T15:44:52-07:00,19593.000000,0.276710,0.554307
2026-08-02T15:44:53-07:00,18346.000000,0.258740,0.519006
2026-08-02T15:44:54-07:00,19043.000000,0.270559,0.539350
2026-08-02T15:44:55-07:00,19210.000000,0.272779,0.542607
2026-08-02T15:44:56-07:00,18704.000000,0.263434,0.528753
2026-08-02T15:44:57-07:00,18630.109671,0.262469,0.526156
2026-08-02T15:44:58-07:00,19160.481444,0.268614,0.541150
2026-08-02T15:44:59-07:00,18411.000000,0.260446,0.519662
2026-08-02T15:45:00-07:00,18263.000000,0.258684,0.516248
2026-08-02T15:45:01-07:00,17100.497512,0.241437,0.483061
2026-08-02T15:45:02-07:00,13802.010050,0.196632,0.390044
2026-08-02T15:45:03-07:00,17971.000000,0.256011,0.507595
2026-08-02T15:45:04-07:00,19698.000000,0.277673,0.556680
2026-08-02T15:45:05-07:00,17659.022931,0.251541,0.500363
2026-08-02T15:45:06-07:00,17308.926780,0.245667,0.489414
2026-08-02T15:45:07-07:00,18273.000000,0.259375,0.517086
2026-08-02T15:45:08-07:00,19766.000000,0.275864,0.558409
2026-08-02T15:45:09-07:00,17654.000000,0.248977,0.498115
2026-08-02T15:45:10-07:00,18492.000000,0.261124,0.523678
2026-08-02T15:45:11-07:00,18771.000000,0.265988,0.531373
2026-08-02T15:45:12-07:00,18061.000000,0.254210,0.509953
2026-08-02T15:45:13-07:00,17670.000000,0.251400,0.499887
2026-08-02T15:45:14-07:00,20425.000000,0.290770,0.577542
2026-08-02T15:45:15-07:00,18923.000000,0.268167,0.535243
2026-08-02T15:45:16-07:00,18034.930140,0.254700,0.509335
2026-08-02T15:45:17-07:00,18172.344689,0.254899,0.513771
2026-08-02T15:45:18-07:00,18835.000000,0.267879,0.532406
2026-08-02T15:45:19-07:00,22708.000000,0.319858,0.641772
