test,tool,msg-rate-per-second[archv2-nxm],msg-megabytes-in-per-second[archv2-nxm],msg-megabytes-out-per-second[archv2-nxm],cpu-percentage[benchi-conduit],memory-usage[benchi-conduit]
archv2-nxm,conduit-v1,15320.68,0.22,0.43,173.64,126.18
archv2-nxm,conduit-v2,15041.05,0.21,0.43,169.08,128.18
