test,tool,msg-rate-per-second[archv2-nxm],msg-megabytes-in-per-second[archv2-nxm],msg-megabytes-out-per-second[archv2-nxm],cpu-percentage[benchi-conduit],memory-usage[benchi-conduit]
archv2-nxm,conduit-v1,12258.09,0.18,0.35,141.69,126.70
archv2-nxm,conduit-v2,13624.22,0.19,0.38,155.16,125.37
