test,tool,msg-rate-per-second[archv2-nxm],msg-megabytes-in-per-second[archv2-nxm],msg-megabytes-out-per-second[archv2-nxm],cpu-percentage[benchi-conduit],memory-usage[benchi-conduit]
archv2-nxm,conduit-v1,15686.88,0.22,0.44,173.83,125.34
archv2-nxm,conduit-v2,14651.57,0.21,0.41,162.66,124.75
