test,tool,msg-rate-per-second[archv2-nxm],msg-megabytes-in-per-second[archv2-nxm],msg-megabytes-out-per-second[archv2-nxm],cpu-percentage[benchi-conduit],memory-usage[benchi-conduit]
archv2-nxm,conduit-v1,16157.05,0.23,0.46,171.81,126.78
archv2-nxm,conduit-v2,14990.84,0.21,0.42,166.58,126.24
