test,tool,msg-rate-per-second[archv2-nxm],msg-megabytes-in-per-second[archv2-nxm],msg-megabytes-out-per-second[archv2-nxm],cpu-percentage[benchi-conduit],memory-usage[benchi-conduit]
archv2-nxm,conduit-v1,15710.84,0.22,0.44,171.25,125.69
archv2-nxm,conduit-v2,15092.37,0.21,0.43,166.63,126.24
