time,cpu-percentage[benchi-conduit],memory-usage[benchi-conduit]
2026-08-02T15:52:00-07:00,0.000221,114.148438
2026-08-02T15:52:01-07:00,196.220571,116.410156
2026-08-02T15:52:02-07:00,204.662542,118.011719
2026-08-02T15:52:03-07:00,158.455822,120.492188
2026-08-02T15:52:04-07:00,155.556511,120.816406
2026-08-02T15:52:05-07:00,161.964925,121.656250
2026-08-02T15:52:06-07:00,137.765340,121.164062
2026-08-02T15:52:07-07:00,143.839697,120.972656
2026-08-02T15:52:08-07:00,139.644322,123.617188
2026-08-02T15:52:09-07:00,123.245396,123.628906
2026-08-02T15:52:10-07:00,130.630356,123.996094
2026-08-02T15:52:11-07:00,140.410274,125.199219
2026-08-02T15:52:12-07:00,134.760360,124.222656
2026-08-02T15:52:13-07:00,135.347836,124.250000
2026-08-02T15:52:14-07:00,146.931311,124.488281
2026-08-02T15:52:15-07:00,138.969179,124.511719
2026-08-02T15:52:16-07:00,133.098004,124.750000
2026-08-02T15:52:18-07:00,132.272659,124.257812
2026-08-02T15:52:19-07:00,139.087950,125.015625
2026-08-02T15:52:20-07:00,137.386532,124.277344
2026-08-02T15:52:21-07:00,135.638638,124.531250
2026-08-02T15:52:22-07:00,132.064289,124.781250
2026-08-02T15:52:23-07:00,137.145624,124.289062
2026-08-02T15:52:24-07:00,150.723683,124.539062
2026-08-02T15:52:25-07:00,141.289584,124.292969
2026-08-02T15:52:26-07:00,141.857039,124.789062
2026-08-02T15:52:27-07:00,128.800399,124.304688
2026-08-02T15:52:28-07:00,137.692962,124.300781
2026-08-02T15:52:29-07:00,138.141796,124.304688
2026-08-02T15:52:30-07:00,124.887047,124.304688
2026-08-02T15:52:31-07:00,149.392533,124.558594
2026-08-02T15:52:32-07:00,136.995052,126.953125
2026-08-02T15:52:33-07:00,137.770772,126.179688
2026-08-02T15:52:34-07:00,138.205987,125.937500
2026-08-02T15:52:35-07:00,144.705734,126.187500
2026-08-02T15:52:36-07:00,141.640326,126.316406
2026-08-02T15:52:37-07:00,138.527185,126.566406
2026-08-02T15:52:38-07:00,145.363465,126.328125
2026-08-02T15:52:39-07:00,134.377001,126.089844
2026-08-02T15:52:40-07:00,121.194137,128.890625
2026-08-02T15:52:41-07:00,142.671048,128.312500
2026-08-02T15:52:42-07:00,146.799145,128.316406
2026-08-02T15:52:43-07:00,130.957547,128.316406
2026-08-02T15:52:45-07:00,149.025157,128.601562
2026-08-02T15:52:46-07:00,131.934592,128.355469
2026-08-02T15:52:47-07:00,143.681501,128.347656
2026-08-02T15:52:48-07:00,129.877293,128.359375
2026-08-02T15:52:49-07:00,136.701055,128.355469
2026-08-02T15:52:50-07:00,123.232867,128.742188
2026-08-02T15:52:51-07:00,118.839796,129.355469
2026-08-02T15:52:52-07:00,137.910521,129.414062
2026-08-02T15:52:53-07:00,132.277396,129.417969
2026-08-02T15:52:54-07:00,135.567059,129.425781
2026-08-02T15:52:55-07:00,137.880853,129.433594
2026-08-02T15:52:56-07:00,139.149857,129.679688
2026-08-02T15:52:57-07:00,137.359950,129.429688
2026-08-02T15:52:58-07:00,118.502962,129.437500
2026-08-02T15:52:59-07:00,130.206468,129.453125
2026-08-02T15:53:00-07:00,133.823423,129.445312
