time,msg-rate-per-second[archv2-nxm-batched],msg-megabytes-in-per-second[archv2-nxm-batched],msg-megabytes-out-per-second[archv2-nxm-batched]
2026-08-02T15:53:04-07:00,32614.000000,0.446730,0.926130
2026-08-02T15:53:05-07:00,37114.000000,0.500401,1.044552
2026-08-02T15:53:06-07:00,37586.653386,0.523528,1.067593
2026-08-02T15:53:07-07:00,40395.604396,0.578738,1.141942
2026-08-02T15:53:08-07:00,40943.831494,0.566171,1.154032
2026-08-02T15:53:09-07:00,37461.923848,0.523216,1.062481
2026-08-02T15:53:10-07:00,38007.000000,0.573633,1.073003
2026-08-02T15:53:11-07:00,36553.000000,0.508051,1.026375
2026-08-02T15:53:12-07:00,35901.000000,0.502347,1.019992
2026-08-02T15:53:13-07:00,35591.000000,0.489623,1.002389
2026-08-02T15:53:14-07:00,40322.000000,0.569569,1.139454
2026-08-02T15:53:15-07:00,38822.000000,0.545547,1.096280
2026-08-02T15:53:16-07:00,39349.000000,0.555214,1.110727
2026-08-02T15:53:17-07:00,34322.000000,0.484974,0.969602
2026-08-02T15:53:18-07:00,43100.000000,0.622965,1.222564
2026-08-02T15:53:19-07:00,40332.000000,0.588084,1.138664
2026-08-02T15:53:20-07:00,31117.000000,0.482827,0.881868
2026-08-02T15:53:21-07:00,38246.000000,0.559165,1.078386
2026-08-02T15:53:22-07:00,36429.000000,0.506060,1.029379
2026-08-02T15:53:23-07:00,37474.051896,0.535761,1.058835
2026-08-02T15:53:24-07:00,37211.422846,0.544260,1.052160
2026-08-02T15:53:25-07:00,39140.718563,0.552916,1.109522
2026-08-02T15:53:26-07:00,42125.250501,0.602424,1.188038
2026-08-02T15:53:27-07:00,40300.000000,0.571503,1.139590
2026-08-02T15:53:28-07:00,42057.000000,0.594737,1.188483
2026-08-02T15:53:29-07:00,37619.000000,0.541253,1.062981
2026-08-02T15:53:30-07:00,38875.000000,0.531436,1.098042
2026-08-02T15:53:31-07:00,40080.838323,0.568370,1.131988
2026-08-02T15:53:32-07:00,36194.000000,0.522520,1.022980
2026-08-02T15:53:33-07:00,38880.761523,0.562087,1.097921
2026-08-02T15:53:34-07:00,40474.000000,0.576151,1.143762
2026-08-02T15:53:35-07:00,42286.427146,0.608780,1.194034
2026-08-02T15:53:36-07:00,38272.000000,0.551066,1.081505
2026-08-02T15:53:37-07:00,40592.000000,0.568956,1.147417
2026-08-02T15:53:38-07:00,40359.281437,0.591089,1.141060
2026-08-02T15:53:39-07:00,36976.907631,0.517792,1.044487
2026-08-02T15:53:40-07:00,41361.000000,0.587257,1.174396
2026-08-02T15:53:41-07:00,34156.686627,0.455378,0.963185
2026-08-02T15:53:42-07:00,41155.310621,0.564854,1.161147
2026-08-02T15:53:43-07:00,40443.227092,0.561016,1.139567
2026-08-02T15:53:44-07:00,40093.373494,0.575795,1.137147
2026-08-02T15:53:45-07:00,41000.996016,0.577905,1.156376
2026-08-02T15:53:46-07:00,40597.389558,0.571366,1.147229
2026-08-02T15:53:47-07:00,40216.000000,0.582737,1.136199
2026-08-02T15:53:48-07:00,50000.000000,0.684386,1.416292
2026-08-02T15:53:49-07:00,42341.974078,0.578440,1.193298
2026-08-02T15:53:50-07:00,39875.875876,0.552269,1.126508
2026-08-02T15:53:51-07:00,42415.831663,0.624655,1.198964
2026-08-02T15:53:52-07:00,41420.000000,0.560393,1.168589
2026-08-02T15:53:53-07:00,41980.000000,0.598584,1.187962
2026-08-02T15:53:54-07:00,40800.000000,0.574993,1.152548
2026-08-02T15:53:55-07:00,42209.000000,0.605311,1.196429
2026-08-02T15:53:56-07:00,36782.000000,0.501535,1.032596
2026-08-02T15:53:57-07:00,41900.000000,0.584331,1.186920
2026-08-02T15:53:58-07:00,36570.858283,0.517271,1.033137
2026-08-02T15:53:59-07:00,40301.603206,0.573503,1.138214
2026-08-02T15:54:00-07:00,41400.000000,0.595860,1.170028
2026-08-02T15:54:01-07:00,33798.604187,0.484079,0.954616
2026-08-02T15:54:02-07:00,34245.737212,0.504530,0.967516
