time,cpu-percentage[benchi-conduit],memory-usage[benchi-conduit]
2026-08-02T15:53:02-07:00,0.000102,109.003906
2026-08-02T15:53:04-07:00,198.495734,132.964844
2026-08-02T15:53:05-07:00,181.954667,133.054688
2026-08-02T15:53:06-07:00,217.494568,134.210938
2026-08-02T15:53:07-07:00,189.734611,135.617188
2026-08-02T15:53:08-07:00,211.310514,135.175781
2026-08-02T15:53:09-07:00,188.313945,135.964844
2026-08-02T15:53:10-07:00,188.935893,134.070312
2026-08-02T15:53:11-07:00,183.262216,135.226562
2026-08-02T15:53:12-07:00,172.554045,140.203125
2026-08-02T15:53:13-07:00,195.842909,136.617188
2026-08-02T15:53:14-07:00,197.964873,135.253906
2026-08-02T15:53:15-07:00,198.240397,141.425781
2026-08-02T15:53:16-07:00,178.183395,138.148438
2026-08-02T15:53:17-07:00,199.066916,136.195312
2026-08-02T15:53:18-07:00,198.741050,136.203125
2026-08-02T15:53:19-07:00,192.826922,136.453125
2026-08-02T15:53:20-07:00,216.856483,147.351562
2026-08-02T15:53:21-07:00,163.922409,132.554688
2026-08-02T15:53:22-07:00,202.372331,126.496094
2026-08-02T15:53:23-07:00,212.624986,133.355469
2026-08-02T15:53:25-07:00,192.907050,134.812500
2026-08-02T15:53:26-07:00,204.301762,132.511719
2026-08-02T15:53:27-07:00,208.036597,128.339844
2026-08-02T15:53:28-07:00,191.150445,136.824219
2026-08-02T15:53:29-07:00,197.176748,132.753906
2026-08-02T15:53:30-07:00,182.940579,140.191406
2026-08-02T15:53:31-07:00,190.842224,134.667969
2026-08-02T15:53:32-07:00,175.159681,132.039062
2026-08-02T15:53:33-07:00,191.887955,134.585938
2026-08-02T15:53:34-07:00,205.995028,135.589844
2026-08-02T15:53:35-07:00,203.281767,136.492188
2026-08-02T15:53:36-07:00,207.400050,136.730469
2026-08-02T15:53:37-07:00,203.509898,138.191406
2026-08-02T15:53:38-07:00,193.978099,137.460938
2026-08-02T15:53:39-07:00,213.688392,140.550781
2026-08-02T15:53:40-07:00,182.230122,135.976562
2026-08-02T15:53:41-07:00,192.352720,132.824219
2026-08-02T15:53:42-07:00,188.998031,135.820312
2026-08-02T15:53:43-07:00,207.042279,132.605469
2026-08-02T15:53:44-07:00,193.756961,136.371094
2026-08-02T15:53:45-07:00,209.786451,136.671875
2026-08-02T15:53:46-07:00,220.657008,130.230469
2026-08-02T15:53:47-07:00,205.300362,136.156250
2026-08-02T15:53:48-07:00,209.072099,135.671875
2026-08-02T15:53:50-07:00,203.889507,133.679688
2026-08-02T15:53:51-07:00,200.216020,137.269531
2026-08-02T15:53:52-07:00,190.251320,136.597656
2026-08-02T15:53:53-07:00,190.467257,138.390625
2026-08-02T15:53:54-07:00,193.964409,139.882812
2026-08-02T15:53:55-07:00,200.714469,137.515625
2026-08-02T15:53:56-07:00,188.438478,130.121094
2026-08-02T15:53:57-07:00,202.714779,136.425781
2026-08-02T15:53:58-07:00,198.793854,139.781250
2026-08-02T15:53:59-07:00,185.326907,139.765625
2026-08-02T15:54:00-07:00,190.577669,138.707031
2026-08-02T15:54:01-07:00,191.194660,135.031250
2026-08-02T15:54:02-07:00,188.910206,132.757812
