time,msg-rate-per-second[archv2-nxm-batched],msg-megabytes-in-per-second[archv2-nxm-batched],msg-megabytes-out-per-second[archv2-nxm-batched]
2026-08-02T15:54:13-07:00,12411.000000,0.178615,0.350522
2026-08-02T15:54:14-07:00,15400.000000,0.216003,0.435879
2026-08-02T15:54:15-07:00,16520.000000,0.232937,0.466938
2026-08-02T15:54:16-07:00,14687.000000,0.210232,0.414813
2026-08-02T15:54:17-07:00,16768.000000,0.238283,0.474435
2026-08-02T15:54:18-07:00,16399.000000,0.231128,0.462585
2026-08-02T15:54:19-07:00,15252.000000,0.215418,0.430875
2026-08-02T15:54:20-07:00,14431.000000,0.204285,0.408700
2026-08-02T15:54:21-07:00,15555.000000,0.210762,0.439807
2026-08-02T15:54:22-07:00,14399.000000,0.207509,0.407607
2026-08-02T15:54:23-07:00,12165.000000,0.171908,0.343644
2026-08-02T15:54:24-07:00,14288.000000,0.202194,0.403368
2026-08-02T15:54:25-07:00,16859.000000,0.235325,0.476878
2026-08-02T15:54:26-07:00,15727.000000,0.210634,0.444444
2026-08-02T15:54:27-07:00,14700.897308,0.203576,0.415445
2026-08-02T15:54:28-07:00,15746.238716,0.221430,0.445111
2026-08-02T15:54:29-07:00,13936.000000,0.195478,0.393906
2026-08-02T15:54:30-07:00,14923.000000,0.209857,0.421926
2026-08-02T15:54:31-07:00,14702.000000,0.205298,0.415074
2026-08-02T15:54:32-07:00,16106.000000,0.206227,0.453642
2026-08-02T15:54:33-07:00,14318.000000,0.202051,0.405307
2026-08-02T15:54:34-07:00,14380.000000,0.203024,0.405840
2026-08-02T15:54:35-07:00,14994.000000,0.211475,0.423982
2026-08-02T15:54:36-07:00,13342.000000,0.191852,0.376622
2026-08-02T15:54:37-07:00,16113.000000,0.230441,0.455751
2026-08-02T15:54:38-07:00,15194.000000,0.212314,0.429308
2026-08-02T15:54:39-07:00,14758.000000,0.210467,0.416884
2026-08-02T15:54:40-07:00,14629.000000,0.211412,0.414522
2026-08-02T15:54:41-07:00,14864.000000,0.212074,0.420251
2026-08-02T15:54:42-07:00,14342.000000,0.201331,0.405148
2026-08-02T15:54:43-07:00,13143.000000,0.181895,0.371732
2026-08-02T15:54:44-07:00,15453.000000,0.218878,0.436965
2026-08-02T15:54:45-07:00,14027.000000,0.199183,0.396791
2026-08-02T15:54:46-07:00,14144.566301,0.201307,0.400016
2026-08-02T15:54:47-07:00,14913.741224,0.211953,0.420270
2026-08-02T15:54:48-07:00,15095.000000,0.213715,0.426165
2026-08-02T15:54:49-07:00,15379.860419,0.218832,0.434521
2026-08-02T15:54:50-07:00,14443.329990,0.203708,0.408720
2026-08-02T15:54:51-07:00,13609.000000,0.194545,0.384175
2026-08-02T15:54:52-07:00,14560.756972,0.207030,0.411724
2026-08-02T15:54:53-07:00,14173.694779,0.207630,0.400476
2026-08-02T15:54:54-07:00,13678.000000,0.191998,0.386274
2026-08-02T15:54:55-07:00,18025.000000,0.254028,0.508977
2026-08-02T15:54:56-07:00,15369.000000,0.219887,0.434500
2026-08-02T15:54:57-07:00,14639.000000,0.208471,0.413014
2026-08-02T15:54:58-07:00,14191.000000,0.195934,0.400925
2026-08-02T15:54:59-07:00,13473.000000,0.190599,0.382049
2026-08-02T15:55:00-07:00,13864.000000,0.197808,0.391254
2026-08-02T15:55:01-07:00,12880.000000,0.179017,0.363084
2026-08-02T15:55:02-07:00,13332.338308,0.183649,0.377268
2026-08-02T15:55:03-07:00,14044.221106,0.198399,0.396840
2026-08-02T15:55:04-07:00,10795.000000,0.150951,0.305554
2026-08-02T15:55:05-07:00,13556.000000,0.191113,0.382184
2026-08-02T15:55:06-07:00,14493.000000,0.206457,0.408603
2026-08-02T15:55:07-07:00,13779.000000,0.196159,0.388453
2026-08-02T15:55:08-07:00,15464.000000,0.217467,0.436590
2026-08-02T15:55:09-07:00,15585.000000,0.220973,0.439715
2026-08-02T15:55:10-07:00,14204.000000,0.197364,0.401087
2026-08-02T15:55:11-07:00,13057.000000,0.202961,0.369658
