time,cpu-percentage[benchi-conduit],memory-usage[benchi-conduit]
2026-08-02T15:54:11-07:00,0.000130,105.140625
2026-08-02T15:54:12-07:00,125.335953,116.667969
2026-08-02T15:54:13-07:00,135.763978,118.238281
2026-08-02T15:54:14-07:00,138.804711,119.421875
2026-08-02T15:54:15-07:00,132.863390,118.906250
2026-08-02T15:54:16-07:00,141.767447,120.824219
2026-08-02T15:54:17-07:00,143.207815,120.652344
2026-08-02T15:54:18-07:00,134.600126,120.457031
2026-08-02T15:54:19-07:00,135.741120,120.464844
2026-08-02T15:54:20-07:00,148.179749,120.246094
2026-08-02T15:54:21-07:00,147.869230,120.992188
2026-08-02T15:54:22-07:00,119.516486,123.292969
2026-08-02T15:54:24-07:00,144.742337,123.312500
2026-08-02T15:54:25-07:00,140.400604,123.320312
2026-08-02T15:54:26-07:00,141.464678,125.640625
2026-08-02T15:54:27-07:00,150.850734,125.890625
2026-08-02T15:54:28-07:00,141.903510,125.644531
2026-08-02T15:54:29-07:00,137.167077,126.398438
2026-08-02T15:54:30-07:00,139.550257,125.652344
2026-08-02T15:54:31-07:00,147.056947,125.925781
2026-08-02T15:54:32-07:00,141.682242,125.949219
2026-08-02T15:54:33-07:00,127.792449,125.703125
2026-08-02T15:54:34-07:00,136.833566,125.722656
2026-08-02T15:54:35-07:00,131.289600,125.726562
2026-08-02T15:54:36-07:00,146.309875,126.222656
2026-08-02T15:54:37-07:00,139.667522,125.984375
2026-08-02T15:54:38-07:00,131.787763,125.734375
2026-08-02T15:54:39-07:00,142.939397,125.734375
2026-08-02T15:54:40-07:00,136.645025,125.742188
2026-08-02T15:54:41-07:00,133.833586,126.789062
2026-08-02T15:54:42-07:00,126.114131,126.789062
2026-08-02T15:54:43-07:00,134.791991,126.800781
2026-08-02T15:54:44-07:00,129.292848,128.332031
2026-08-02T15:54:45-07:00,136.470227,127.726562
2026-08-02T15:54:46-07:00,144.719347,128.226562
2026-08-02T15:54:47-07:00,133.525286,127.855469
2026-08-02T15:54:48-07:00,143.042397,128.125000
2026-08-02T15:54:50-07:00,131.758616,128.867188
2026-08-02T15:54:51-07:00,139.799070,128.140625
2026-08-02T15:54:52-07:00,135.754110,127.886719
2026-08-02T15:54:53-07:00,136.899301,127.890625
2026-08-02T15:54:54-07:00,130.387491,128.144531
2026-08-02T15:54:55-07:00,140.037918,128.644531
2026-08-02T15:54:56-07:00,138.202100,127.910156
2026-08-02T15:54:57-07:00,136.838976,127.910156
2026-08-02T15:54:58-07:00,134.653375,127.910156
2026-08-02T15:54:59-07:00,135.569861,127.914062
2026-08-02T15:55:00-07:00,146.525168,127.921875
2026-08-02T15:55:01-07:00,133.720303,128.050781
2026-08-02T15:55:02-07:00,156.493072,129.550781
2026-08-02T15:55:03-07:00,121.429692,128.050781
2026-08-02T15:55:04-07:00,148.513114,128.308594
2026-08-02T15:55:05-07:00,136.895103,128.062500
2026-08-02T15:55:06-07:00,128.778680,128.308594
2026-08-02T15:55:07-07:00,133.543890,128.070312
2026-08-02T15:55:08-07:00,142.900126,128.812500
2026-08-02T15:55:09-07:00,134.991378,128.066406
2026-08-02T15:55:10-07:00,150.744366,128.070312
2026-08-02T15:55:11-07:00,129.678211,128.074219
