time,msg-rate-per-second[archv2-nxm],msg-megabytes-in-per-second[archv2-nxm],msg-megabytes-out-per-second[archv2-nxm]
2026-08-02T15:48:43-07:00,17614.770459,0.247421,0.497657
2026-08-02T15:48:44-07:00,19217.434870,0.267264,0.543404
2026-08-02T15:48:45-07:00,18130.000000,0.259611,0.513290
2026-08-02T15:48:46-07:00,18982.000000,0.268738,0.536422
2026-08-02T15:48:47-07:00,18734.000000,0.264131,0.529824
2026-08-02T15:48:48-07:00,19648.000000,0.277338,0.555416
2026-08-02T15:48:49-07:00,17952.095808,0.253632,0.507423
2026-08-02T15:48:50-07:00,18299.599198,0.259185,0.517450
2026-08-02T15:48:51-07:00,19410.000000,0.273551,0.547787
2026-08-02T15:48:52-07:00,20419.000000,0.288746,0.577393
2026-08-02T15:48:53-07:00,19321.000000,0.271767,0.546039
2026-08-02T15:48:54-07:00,21027.000000,0.296512,0.594499
2026-08-02T15:48:55-07:00,19947.000000,0.280952,0.563129
2026-08-02T15:48:56-07:00,19985.044865,0.281701,0.565790
2026-08-02T15:48:57-07:00,17848.545637,0.250368,0.504200
2026-08-02T15:48:58-07:00,18178.000000,0.254944,0.512767
2026-08-02T15:48:59-07:00,19201.000000,0.273134,0.542766
2026-08-02T15:49:00-07:00,18377.000000,0.258135,0.518637
2026-08-02T15:49:01-07:00,16188.000000,0.227860,0.458090
2026-08-02T15:49:02-07:00,16378.000000,0.232370,0.462536
2026-08-02T15:49:03-07:00,18315.000000,0.260137,0.518030
2026-08-02T15:49:04-07:00,18479.000000,0.259482,0.522191
2026-08-02T15:49:05-07:00,17649.000000,0.248940,0.498395
2026-08-02T15:49:06-07:00,18487.000000,0.261759,0.522394
2026-08-02T15:49:07-07:00,18423.000000,0.260123,0.521077
2026-08-02T15:49:08-07:00,18204.000000,0.255938,0.513555
2026-08-02T15:49:09-07:00,19522.000000,0.276972,0.552024
2026-08-02T15:49:10-07:00,18854.000000,0.266532,0.532645
2026-08-02T15:49:11-07:00,17406.000000,0.248158,0.492307
2026-08-02T15:49:12-07:00,18233.000000,0.259160,0.515527
2026-08-02T15:49:13-07:00,18619.000000,0.261739,0.526588
2026-08-02T15:49:14-07:00,18145.000000,0.256570,0.511841
2026-08-02T15:49:15-07:00,18362.000000,0.260418,0.519455
2026-08-02T15:49:16-07:00,18093.000000,0.256726,0.511388
2026-08-02T15:49:17-07:00,18058.000000,0.255197,0.510067
2026-08-02T15:49:18-07:00,18217.000000,0.255539,0.514703
2026-08-02T15:49:19-07:00,19685.000000,0.277953,0.556415
2026-08-02T15:49:20-07:00,18368.000000,0.258511,0.519856
2026-08-02T15:49:21-07:00,18188.000000,0.258839,0.514594
2026-08-02T15:49:22-07:00,19129.000000,0.265635,0.541382
2026-08-02T15:49:23-07:00,17710.000000,0.251734,0.500184
2026-08-02T15:49:24-07:00,18178.000000,0.256855,0.511944
2026-08-02T15:49:25-07:00,17690.000000,0.250766,0.499248
2026-08-02T15:49:26-07:00,18158.000000,0.257919,0.512939
2026-08-02T15:49:27-07:00,19171.000000,0.270247,0.542768
2026-08-02T15:49:28-07:00,17787.000000,0.246786,0.503277
2026-08-02T15:49:29-07:00,18696.000000,0.264004,0.528346
2026-08-02T15:49:30-07:00,19685.000000,0.278110,0.556078
2026-08-02T15:49:31-07:00,18790.000000,0.265392,0.531056
2026-08-02T15:49:32-07:00,18650.000000,0.265723,0.527091
2026-08-02T15:49:33-07:00,20107.000000,0.285089,0.568361
2026-08-02T15:49:34-07:00,19713.000000,0.278290,0.556401
2026-08-02T15:49:35-07:00,18909.000000,0.269140,0.534471
2026-08-02T15:49:36-07:00,19409.000000,0.272841,0.547990
2026-08-02T15:49:37-07:00,19489.000000,0.274579,0.550093
2026-08-02T15:49:38-07:00,18496.517413,0.261331,0.523557
2026-08-02T15:49:39-07:00,18564.824121,0.263673,0.524729
2026-08-02T15:49:40-07:00,19168.000000,0.271097,0.541739
2026-08-02T15:49:41-07:00,18917.000000,0.269685,0.534646
