time,cpu-percentage[benchi-conduit],memory-usage[benchi-conduit]
2026-08-02T15:48:41-07:00,0.000281,112.535156
2026-08-02T15:48:42-07:00,212.957887,116.957031
2026-08-02T15:48:43-07:00,205.271855,116.382812
2026-08-02T15:48:44-07:00,219.302582,117.410156
2026-08-02T15:48:45-07:00,214.667511,117.214844
2026-08-02T15:48:46-07:00,217.925772,116.894531
2026-08-02T15:48:47-07:00,218.253948,116.910156
2026-08-02T15:48:48-07:00,207.691291,116.675781
2026-08-02T15:48:49-07:00,218.307166,117.191406
2026-08-02T15:48:50-07:00,220.497092,117.453125
2026-08-02T15:48:51-07:00,221.405526,117.726562
2026-08-02T15:48:52-07:00,213.841616,117.222656
2026-08-02T15:48:53-07:00,210.570088,116.757812
2026-08-02T15:48:54-07:00,221.332665,117.015625
2026-08-02T15:48:55-07:00,217.982521,117.519531
2026-08-02T15:48:56-07:00,216.385304,117.027344
2026-08-02T15:48:57-07:00,215.152183,117.031250
2026-08-02T15:48:58-07:00,203.333180,117.300781
2026-08-02T15:48:59-07:00,213.504324,117.867188
2026-08-02T15:49:00-07:00,216.940392,117.628906
2026-08-02T15:49:01-07:00,206.405039,117.148438
2026-08-02T15:49:02-07:00,207.821046,117.394531
2026-08-02T15:49:03-07:00,215.417722,117.656250
2026-08-02T15:49:04-07:00,216.769375,117.648438
2026-08-02T15:49:05-07:00,210.940364,117.406250
2026-08-02T15:49:06-07:00,222.294345,117.906250
2026-08-02T15:49:07-07:00,211.286045,117.660156
2026-08-02T15:49:08-07:00,214.153052,117.171875
2026-08-02T15:49:09-07:00,220.813726,117.675781
2026-08-02T15:49:10-07:00,216.286210,118.316406
2026-08-02T15:49:11-07:00,219.069535,117.816406
2026-08-02T15:49:12-07:00,219.560879,117.847656
2026-08-02T15:49:13-07:00,214.177842,118.351562
2026-08-02T15:49:14-07:00,216.013326,117.863281
2026-08-02T15:49:15-07:00,217.960404,118.601562
2026-08-02T15:49:16-07:00,216.237628,119.332031
2026-08-02T15:49:17-07:00,209.635154,118.339844
2026-08-02T15:49:18-07:00,213.005453,118.843750
2026-08-02T15:49:19-07:00,215.408718,118.113281
2026-08-02T15:49:20-07:00,220.074069,119.105469
2026-08-02T15:49:21-07:00,216.270445,118.859375
2026-08-02T15:49:22-07:00,205.473075,118.121094
2026-08-02T15:49:23-07:00,216.311611,118.386719
2026-08-02T15:49:25-07:00,219.125829,118.371094
2026-08-02T15:49:26-07:00,209.785741,119.140625
2026-08-02T15:49:27-07:00,208.135455,118.644531
2026-08-02T15:49:28-07:00,222.505095,118.898438
2026-08-02T15:49:29-07:00,205.733333,119.023438
2026-08-02T15:49:30-07:00,214.700114,118.531250
2026-08-02T15:49:31-07:00,218.837958,119.027344
2026-08-02T15:49:32-07:00,216.335406,118.285156
2026-08-02T15:49:33-07:00,218.304020,119.042969
2026-08-02T15:49:34-07:00,215.461167,119.046875
2026-08-02T15:49:35-07:00,215.360817,118.304688
2026-08-02T15:49:36-07:00,217.702742,118.566406
2026-08-02T15:49:37-07:00,218.674937,118.804688
2026-08-02T15:49:38-07:00,209.698065,119.054688
2026-08-02T15:49:39-07:00,205.930522,119.054688
2026-08-02T15:49:40-07:00,220.099048,118.312500
2026-08-02T15:49:41-07:00,214.832690,121.566406
