test,tool,msg-rate-per-second[archv2-parity],msg-megabytes-in-per-second[archv2-parity],msg-megabytes-out-per-second[archv2-parity],cpu-percentage[benchi-conduit],memory-usage[benchi-conduit]
archv2-parity,conduit-v1,23584.26,0.67,0.67,153.70,123.60
archv2-parity,conduit-v2,25166.42,0.71,0.71,133.75,126.19
