test,tool,msg-rate-per-second[archv2-nxm-batched],msg-megabytes-in-per-second[archv2-nxm-batched],msg-megabytes-out-per-second[archv2-nxm-batched],cpu-percentage[benchi-conduit],memory-usage[benchi-conduit]
archv2-nxm-batched,conduit-v1,14256.19,0.20,0.40,137.54,126.00
archv2-nxm-batched,conduit-v2,39186.79,0.56,1.11,196.24,135.52
