time,msg-rate-per-second[archv2-nxm],msg-megabytes-in-per-second[archv2-nxm],msg-megabytes-out-per-second[archv2-nxm]
2026-08-02T15:47:41-07:00,16184.000000,0.231320,0.457891
2026-08-02T15:47:42-07:00,16387.000000,0.228143,0.462606
2026-08-02T15:47:43-07:00,16020.000000,0.226624,0.452993
2026-08-02T15:47:44-07:00,17022.000000,0.242985,0.481206
2026-08-02T15:47:45-07:00,17178.000000,0.243419,0.486444
2026-08-02T15:47:46-07:00,15880.000000,0.222613,0.449196
2026-08-02T15:47:47-07:00,15480.000000,0.223611,0.436689
2026-08-02T15:47:48-07:00,15615.000000,0.230865,0.441298
2026-08-02T15:47:49-07:00,17343.000000,0.246479,0.490565
2026-08-02T15:47:50-07:00,18013.000000,0.253375,0.509407
2026-08-02T15:47:51-07:00,20753.000000,0.295675,0.586024
2026-08-02T15:47:52-07:00,20454.000000,0.285513,0.578508
2026-08-02T15:47:53-07:00,20380.000000,0.284801,0.575826
2026-08-02T15:47:54-07:00,20264.000000,0.289290,0.572732
2026-08-02T15:47:55-07:00,21286.000000,0.301008,0.602015
2026-08-02T15:47:56-07:00,19352.000000,0.275123,0.547075
2026-08-02T15:47:57-07:00,19532.000000,0.277292,0.552289
2026-08-02T15:47:58-07:00,19234.297109,0.268763,0.544234
2026-08-02T15:47:59-07:00,20047.141424,0.283069,0.565776
2026-08-02T15:48:00-07:00,19716.000000,0.275649,0.557091
2026-08-02T15:48:01-07:00,18279.000000,0.261763,0.516573
2026-08-02T15:48:02-07:00,18724.000000,0.263116,0.528740
2026-08-02T15:48:03-07:00,19552.000000,0.273346,0.552514
2026-08-02T15:48:04-07:00,20260.000000,0.286420,0.572492
2026-08-02T15:48:05-07:00,18645.708583,0.264046,0.526541
2026-08-02T15:48:06-07:00,18387.775551,0.260529,0.520333
2026-08-02T15:48:07-07:00,17867.000000,0.251001,0.504527
2026-08-02T15:48:08-07:00,18106.000000,0.254564,0.510811
2026-08-02T15:48:09-07:00,18928.000000,0.268953,0.534885
2026-08-02T15:48:10-07:00,20725.000000,0.289042,0.585877
2026-08-02T15:48:11-07:00,18658.000000,0.262046,0.527028
2026-08-02T15:48:12-07:00,19289.000000,0.277896,0.544599
2026-08-02T15:48:13-07:00,18374.000000,0.257338,0.518477
2026-08-02T15:48:14-07:00,19741.000000,0.274715,0.557456
2026-08-02T15:48:15-07:00,19998.000000,0.282125,0.565468
2026-08-02T15:48:16-07:00,19579.000000,0.276034,0.553242
2026-08-02T15:48:17-07:00,18473.000000,0.261079,0.521965
2026-08-02T15:48:18-07:00,18183.000000,0.256543,0.513917
2026-08-02T15:48:19-07:00,20836.000000,0.293858,0.587872
2026-08-02T15:48:20-07:00,17352.000000,0.244364,0.491129
2026-08-02T15:48:21-07:00,18644.422311,0.264147,0.526802
2026-08-02T15:48:22-07:00,20031.124498,0.284138,0.566217
2026-08-02T15:48:23-07:00,18448.000000,0.258558,0.521256
2026-08-02T15:48:24-07:00,19910.179641,0.285006,0.562585
2026-08-02T15:48:25-07:00,20435.871743,0.287907,0.577357
2026-08-02T15:48:26-07:00,22316.000000,0.313918,0.630669
2026-08-02T15:48:27-07:00,20163.000000,0.281935,0.569813
2026-08-02T15:48:28-07:00,19842.000000,0.283280,0.559776
2026-08-02T15:48:29-07:00,18278.000000,0.262568,0.516530
2026-08-02T15:48:30-07:00,18912.000000,0.266467,0.534019
2026-08-02T15:48:31-07:00,18677.000000,0.265387,0.528223
2026-08-02T15:48:32-07:00,18458.000000,0.261381,0.520767
2026-08-02T15:48:33-07:00,17530.000000,0.247061,0.495530
2026-08-02T15:48:34-07:00,18386.000000,0.263242,0.519087
2026-08-02T15:48:35-07:00,18643.070788,0.264168,0.527729
2026-08-02T15:48:36-07:00,19339.017051,0.273228,0.546566
2026-08-02T15:48:37-07:00,20181.000000,0.288234,0.570482
2026-08-02T15:48:38-07:00,19615.000000,0.277854,0.555002
2026-08-02T15:48:39-07:00,19139.000000,0.269648,0.540856
